"step","upstreamPressure"
0.0,3.1845505
1000.0,3.1160636
2000.0,3.0635945796966553
3000.0,3.024075984954834
4000.0,2.98897123336792
5000.0,2.9578158855438232
6000.0,2.9315764904022217
7000.0,2.9087777137756348
8000.0,2.885134220123291
9000.0,2.8647103309631348
10000.0,2.849623680114746
11000.0,2.833418846130371
12000.0,2.8187458515167236
13000.0,2.8044562339782715
14000.0,2.7927722930908203
15000.0,2.780193328857422
16000.0,2.7714715003967285
17000.0,2.7612228393554688
18000.0,2.751068115234375
19000.0,2.744382858276367
20000.0,2.733696460723877
21000.0,2.7282814979553223
22000.0,2.721367835998535
23000.0,2.714590072631836
24000.0,2.709618330001831
25000.0,2.7032392024993896
26000.0,2.6975784301757812
27000.0,2.693235397338867
28000.0,2.6874890327453613
29000.0,2.6833958625793457
30000.0,2.6798739433288574
31000.0,2.67718505859375
32000.0,2.672682762145996
33000.0,2.6689960956573486
34000.0,2.665053606033325
35000.0,2.6635680198669434
36000.0,2.6604695320129395
37000.0,2.6578896045684814
38000.0,2.655202865600586
39000.0,2.6530117988586426
40000.0,2.6511929035186768
