"step","upsteramPressureTot_Re1213"
0.0,1.528189
2000.0,3.5807428
4000.0,3.5381922721862793
6000.0,3.5383870601654053
8000.0,3.575005054473877
10000.0,3.5327181816101074
12000.0,3.535682201385498
14000.0,3.516885757446289
16000.0,3.535537004470825
18000.0,3.5335569381713867
20000.0,3.5276122093200684
22000.0,3.525740146636963
24000.0,3.522271156311035
26000.0,3.5299487113952637
28000.0,3.5410685539245605
30000.0,3.5268168449401855
32000.0,3.5422098636627197
34000.0,3.543154716491699
36000.0,3.538029670715332
38000.0,3.535947322845459
40000.0,3.5384509563446045
42000.0,3.521193504333496
44000.0,3.517164945602417
46000.0,3.535162925720215
48000.0,3.528900146484375
50000.0,3.5282585620880127
52000.0,3.512362241744995
54000.0,3.527815818786621
56000.0,3.5271570682525635
58000.0,3.522855281829834
60000.0,3.5219974517822266
62000.0,3.523219108581543
64000.0,3.521420478820801
66000.0,3.524975299835205
68000.0,3.5214991569519043
70000.0,3.5232770442962646
72000.0,3.5251448154449463
74000.0,3.5218870639801025
76000.0,3.5177619457244873
78000.0,3.520141839981079
80000.0,3.516310214996338
82000.0,3.5171070098876953
84000.0,3.5184364318847656
86000.0,3.5189528465270996
88000.0,3.514540672302246
90000.0,3.5105772018432617
92000.0,3.513153553009033
94000.0,3.5092544555664062
96000.0,3.5108327865600586
98000.0,3.5057880878448486
100000.0,3.5103988647460938
102000.0,3.509720802307129
104000.0,3.511232376098633
106000.0,3.5094614028930664
108000.0,3.5087549686431885
110000.0,3.5068655014038086
112000.0,3.509300708770752
114000.0,3.50618839263916
116000.0,3.509045124053955
118000.0,3.506101608276367
120000.0,3.506375312805176
122000.0,3.509404182434082
124000.0,3.508129119873047
126000.0,3.5093870162963867
128000.0,3.507459878921509
130000.0,3.5047316551208496
132000.0,3.5084939002990723
134000.0,3.509897232055664
136000.0,3.510739326477051
138000.0,3.509641647338867
140000.0,3.5085341930389404
142000.0,3.507936954498291
144000.0,3.5090479850769043
146000.0,3.510629415512085
148000.0,3.5104739665985107
150000.0,3.514671564102173
152000.0,3.5096147060394287
154000.0,3.510552406311035
156000.0,3.513014078140259
158000.0,3.5121560096740723
160000.0,3.5118203163146973
162000.0,3.510347843170166
164000.0,3.5120763778686523
166000.0,3.512644052505493
168000.0,3.510753631591797
170000.0,3.5114166736602783
172000.0,3.5143585205078125
174000.0,3.5143744945526123
176000.0,3.5123109817504883
178000.0,3.5125813484191895
180000.0,3.513850688934326
182000.0,3.5138731002807617
