"step","upsteramPressure_Re1213"
0.0,1.1024692
2000.0,2.4707031
4000.0,2.478148937225342
6000.0,2.469404935836792
8000.0,2.4868950843811035
10000.0,2.4751667976379395
12000.0,2.4785075187683105
14000.0,2.4626333713531494
16000.0,2.4717044830322266
18000.0,2.472999095916748
20000.0,2.470734119415283
22000.0,2.4702138900756836
24000.0,2.467288017272949
26000.0,2.4722790718078613
28000.0,2.4765443801879883
30000.0,2.468682289123535
32000.0,2.476058006286621
34000.0,2.47104549407959
36000.0,2.479461669921875
38000.0,2.477346897125244
40000.0,2.4779951572418213
42000.0,2.4737026691436768
44000.0,2.4740700721740723
46000.0,2.47764253616333
48000.0,2.47467041015625
50000.0,2.4766340255737305
52000.0,2.464794158935547
54000.0,2.477517604827881
56000.0,2.477318525314331
58000.0,2.474242687225342
60000.0,2.4756951332092285
62000.0,2.474931240081787
64000.0,2.4771485328674316
66000.0,2.476111888885498
68000.0,2.4758496284484863
70000.0,2.477243185043335
72000.0,2.4775052070617676
74000.0,2.477574586868286
76000.0,2.474196195602417
78000.0,2.476016044616699
80000.0,2.475675106048584
82000.0,2.4755592346191406
84000.0,2.4760584831237793
86000.0,2.4743475914001465
88000.0,2.474823474884033
90000.0,2.474648952484131
92000.0,2.4741992950439453
94000.0,2.47312593460083
96000.0,2.474623203277588
98000.0,2.472559928894043
100000.0,2.474575996398926
102000.0,2.474111795425415
104000.0,2.475487232208252
106000.0,2.4741568565368652
108000.0,2.4727706909179688
110000.0,2.4731991291046143
112000.0,2.474032402038574
114000.0,2.4727907180786133
116000.0,2.4746487140655518
118000.0,2.473039150238037
120000.0,2.4724035263061523
122000.0,2.473801612854004
124000.0,2.474027156829834
126000.0,2.474107027053833
128000.0,2.4732391834259033
130000.0,2.473266363143921
132000.0,2.4731390476226807
134000.0,2.474276304244995
136000.0,2.475578784942627
138000.0,2.473891258239746
140000.0,2.4730560779571533
142000.0,2.4732682704925537
144000.0,2.47397780418396
146000.0,2.4744672775268555
148000.0,2.4739551544189453
150000.0,2.4762511253356934
152000.0,2.473684310913086
154000.0,2.4738454818725586
156000.0,2.474064826965332
158000.0,2.4740161895751953
160000.0,2.4740514755249023
162000.0,2.473191976547241
164000.0,2.473116397857666
166000.0,2.4742319583892822
168000.0,2.4738194942474365
170000.0,2.4742050170898438
172000.0,2.4743618965148926
174000.0,2.4754488468170166
176000.0,2.4741950035095215
178000.0,2.4739389419555664
180000.0,2.474472999572754
182000.0,2.473771095275879
