"step","upstreamPressure_DP172_842.500-0.420-0.470-9.341-1.511-6.182-=6.1817"
253000.0,8.430403709411621
254000.0,8.417277336120605
255000.0,8.418734550476074
256000.0,8.40851879119873
257000.0,8.392878532409668
258000.0,8.379898071289062
259000.0,8.395135879516602
260000.0,8.383617401123047
261000.0,8.378145217895508
262000.0,8.377740859985352
263000.0,8.376811981201172
264000.0,8.371950149536133
265000.0,8.36301326751709
266000.0,8.359001159667969
267000.0,8.343904495239258
268000.0,8.343574523925781
269000.0,8.32417106628418
270000.0,8.31611156463623
271000.0,8.31100845336914
272000.0,8.309944152832031
273000.0,8.305620193481445
274000.0,8.294641494750977
275000.0,8.286197662353516
276000.0,8.286551475524902
277000.0,8.280712127685547
278000.0,8.295598983764648
279000.0,8.272335052490234
280000.0,8.26783561706543
281000.0,8.259373664855957
282000.0,8.255990982055664
283000.0,8.245928764343262
284000.0,8.239227294921875
285000.0,8.23663330078125
286000.0,8.227879524230957
287000.0,8.217693328857422
288000.0,8.214038848876953
289000.0,8.2131929397583
290000.0,8.207975387573242
291000.0,8.211142539978027
292000.0,8.193695068359375
293000.0,8.192107200622559
294000.0,8.185643196105957
295000.0,8.188264846801758
296000.0,8.17910385131836
297000.0,8.172810554504395
298000.0,8.175905227661133
299000.0,8.177680969238281
300000.0,8.170053482055664
