"step","downstreamPressure_DP157_617.500-0.900-0.170-10.109-1.946-7.001-=1.94625"
242000.0,3.1809329986572266
243000.0,3.180412769317627
244000.0,3.171994686126709
245000.0,3.164614677429199
246000.0,3.169128179550171
247000.0,3.1660261154174805
248000.0,3.167811870574951
249000.0,3.1696395874023438
250000.0,3.1687395572662354
251000.0,3.1583688259124756
252000.0,3.1592044830322266
253000.0,3.1543195247650146
254000.0,3.144803285598755
255000.0,3.147047996520996
256000.0,3.1424055099487305
257000.0,3.141148567199707
258000.0,3.14180850982666
259000.0,3.1386959552764893
260000.0,3.1367204189300537
261000.0,3.139235496520996
262000.0,3.1324446201324463
263000.0,3.1306052207946777
264000.0,3.1344268321990967
265000.0,3.129579544067383
266000.0,3.1265807151794434
267000.0,3.12125301361084
268000.0,3.1194138526916504
269000.0,3.1093597412109375
270000.0,3.1056575775146484
271000.0,3.0963573455810547
272000.0,3.0873796939849854
273000.0,3.084463596343994
274000.0,3.0853939056396484
275000.0,3.082294464111328
276000.0,3.0834946632385254
277000.0,3.0837042331695557
278000.0,3.0842199325561523
279000.0,3.0784897804260254
280000.0,3.0747904777526855
281000.0,3.0794148445129395
282000.0,3.0774154663085938
283000.0,3.064744234085083
284000.0,3.0586671829223633
285000.0,3.0561556816101074
286000.0,3.0544753074645996
287000.0,3.049367904663086
288000.0,3.0528464317321777
289000.0,3.050978183746338
290000.0,3.0532593727111816
291000.0,3.0476722717285156
292000.0,3.041379928588867
293000.0,3.034482002258301
294000.0,3.029362201690674
295000.0,3.0316250324249268
296000.0,3.027524948120117
297000.0,3.022130012512207
298000.0,3.024287223815918
299000.0,3.0363669395446777
300000.0,3.030892848968506
