# Response Point
# Name,P4 - Re,P6 - Ob_pos (m),P7 - Ob_H (m),P1 - Delta Cp,P8 - DSP (Pa),P10 - USP (Pa)
Name,P4,P6,P7,P1,P8,P10
Response Point,800,0.60000000000000009,0.45,9.45519089630767,1.6001007242193337,6.312980208026981

# Response Chart for P1 - Delta Cp
# P6 - Ob_pos (m),P1 - Delta Cp
P6,P1
0.2,9.3577768475663756
0.23333333333333334,9.36203013422219
0.26666666666666666,9.3677694278382191
0.30000000000000004,9.3741418218535237
0.33333333333333337,9.3804008523504265
0.3666666666666667,9.3888280607984651
0.4,9.39913740863987
0.43333333333333335,9.4091360585257551
0.46666666666666667,9.4181988403008159
0.5,9.4270725047047623
0.53333333333333333,9.4361133518472826
0.56666666666666665,9.4454631807007541
0.60000000000000009,9.45519089630767
0.6333333333333333,9.4652738231647522
0.66666666666666674,9.47663197777406
0.7,9.4898170415717615
0.73333333333333339,9.5031376216303958
0.76666666666666661,9.5163811909472855
0.8,9.5321234108247381
0.83333333333333326,9.55119371396188
0.8666666666666667,9.5729011531258337
0.89999999999999991,9.5964439951437175
0.93333333333333335,9.6231021943256518
0.96666666666666656,9.6542846348317415
1,9.69018745502864
