# Response Point
# Name,P4 - Re,P6 - Ob_pos (m),P7 - Ob_H (m),P1 - Delta Cp,P8 - DSP (Pa),P10 - USP (Pa)
Name,P4,P6,P7,P1,P8,P10
Response Point,500,0.6,0.4,10.59616880746672,2.3466912696173514,7.6413932232328978

# Response Chart for P1 - Delta Cp
# P6 - Ob_pos (m),P1 - Delta Cp
P6,P1
0.2,10.522645329409572
0.23333333333333334,10.511492761159561
0.26666666666666666,10.506281177135262
0.30000000000000004,10.505842195303526
0.33333333333333337,10.509148264495071
0.3666666666666667,10.515326960226247
0.4,10.523664790324782
0.43333333333333335,10.533601392974511
0.46666666666666667,10.544715577537506
0.5,10.55670510675807
0.53333333333333333,10.56936243128292
0.56666666666666665,10.582548752948293
0.60000000000000009,10.596168807477234
0.6333333333333333,10.6101486207754
0.66666666666666674,10.624418206388478
0.7,10.638900743568165
0.73333333333333339,10.653509225394398
0.76666666666666661,10.668150912685544
0.8,10.68273922326261
0.83333333333333326,10.697211958305621
0.8666666666666667,10.711554100423673
0.89999999999999991,10.725822847837875
0.93333333333333335,10.740172166762306
0.96666666666666656,10.754873977208357
1,10.770333190265205
