Name,P4,P6,P7
FCNN; Physics,300,0.20000091067942005,0.4999995266444459
FCNN; Physics,400,0.20000014960829515,0.4999999690664654
FCNN; Physics,500,0.2000077105126767,0.4999998971394344
FCNN; Physics,600,0.20000151383509915,0.4999999958070871
FCNN; Physics,700,0.20000022001106163,0.49999985027610017
FCNN; Physics,800,0.20000381688097044,0.49999977874239077
FCNN; Physics,900,0.20000225973434144,0.49999999998102207
FCNN; Physics,1000,0.2000006636799645,0.4999998960013584
FCNN; Data,300,0.21618312417734128,0.40779976652651206
FCNN; Data,400,0.4951742885526263,0.3532288131996938
FCNN; Data,500,0.2026269500769937,0.40898301432289097
FCNN; Data,600,0.2000322391037225,0.410609043251263
FCNN; Data,700,0.24494684700688363,0.4044645980487547
FCNN; Data,800,0.2757871360616283,0.40020565798920915
FCNN; Data,900,0.29312437756283544,0.3987115211211621
FCNN; Data,1000,0.3136328226824283,0.3964043437125146
FCNN; Data+Physics; $W_d=0.1$,300,0.2618475575173969,0.39256070716268776
FCNN; Data+Physics; $W_d=0.1$,400,0.3264856092292301,0.3888910381431737
FCNN; Data+Physics; $W_d=0.1$,500,0.30156223311384067,0.3981311179492739
FCNN; Data+Physics; $W_d=0.1$,600,0.2931736102995631,0.4020113869488295
FCNN; Data+Physics; $W_d=0.1$,700,0.3372777291791462,0.3946737209230902
FCNN; Data+Physics; $W_d=0.1$,800,0.38900047078224825,0.3833936598727358
FCNN; Data+Physics; $W_d=0.1$,900,0.40323570401899606,0.3811458302199434
FCNN; Data+Physics; $W_d=0.1$,1000,0.41334610096461655,0.38154314981019066
FCNN; Data+Physics; $W_d=1$,300,0.4874745797322187,0.35428929640848883
FCNN; Data+Physics; $W_d=1$,400,0.4934714703950028,0.35830366450187856
FCNN; Data+Physics; $W_d=1$,500,0.20000019076684455,0.4127337593041429
FCNN; Data+Physics; $W_d=1$,600,0.2000002612272304,0.4178104331051299
FCNN; Data+Physics; $W_d=1$,700,0.20000487279599005,0.4143934524299704
FCNN; Data+Physics; $W_d=1$,800,0.23698104863988492,0.4043256865996017
FCNN; Data+Physics; $W_d=1$,900,0.27939717287566457,0.3975317716946154
FCNN; Data+Physics; $W_d=1$,1000,0.3022636186688522,0.3922976494544682
FCNN; Pressure Data+Physics; $W_d=0.1$,300,0.5386635994329176,0.3400758350949065
FCNN; Pressure Data+Physics; $W_d=0.1$,400,0.5060961693596937,0.354297027438878
FCNN; Pressure Data+Physics; $W_d=0.1$,500,0.47657791628380475,0.36265181555594805
FCNN; Pressure Data+Physics; $W_d=0.1$,600,0.4737382750264049,0.365646519802516
FCNN; Pressure Data+Physics; $W_d=0.1$,700,0.47412726458641985,0.3681171172484261
FCNN; Pressure Data+Physics; $W_d=0.1$,800,0.46412410493235023,0.372044079438438
FCNN; Pressure Data+Physics; $W_d=0.1$,900,0.44944615340391736,0.3758653715425886
FCNN; Pressure Data+Physics; $W_d=0.1$,1000,0.42849263530950443,0.38118836496849307
FCNN; Pressure Data+Physics; $W_d=1$,300,0.23985094636139825,0.3863975887019613
FCNN; Pressure Data+Physics; $W_d=1$,400,0.4699021352362537,0.35895816917051016
FCNN; Pressure Data+Physics; $W_d=1$,500,0.45373739821721215,0.3675794355559735
FCNN; Pressure Data+Physics; $W_d=1$,600,0.3259714395346289,0.3951245555642511
FCNN; Pressure Data+Physics; $W_d=1$,700,0.30565148380640944,0.39926666097136243
FCNN; Pressure Data+Physics; $W_d=1$,800,0.31131595379228105,0.39696861988071275
FCNN; Pressure Data+Physics; $W_d=1$,900,0.3380778182608384,0.39104272938771273
FCNN; Pressure Data+Physics; $W_d=1$,1000,0.4054887339136145,0.3813009550836408
FNN; Physics,300,0.20000006263298836,0.10000012827344876
FNN; Physics,400,0.20000008080473342,0.3364208482741811
FNN; Physics,500,0.20000008988639761,0.33483511033951685
FNN; Physics,600,0.200000051477991,0.33294006720656555
FNN; Physics,700,0.2000000526561766,0.3322615468187569
FNN; Physics,800,0.20000000368385912,0.3317453818227679
FNN; Physics,900,0.2000010924167337,0.33241759151472244
FNN; Physics,1000,0.20000096931433853,0.3305276414565731
FNN; Data,300,0.6016276375798583,0.43321855631761563
FNN; Data,400,0.5997497014215594,0.4325341834024278
FNN; Data,500,0.5929616063210073,0.43218290202230764
FNN; Data,600,0.8463500833565529,0.3067935936084165
FNN; Data,700,0.8465539388215269,0.3046236092017123
FNN; Data,800,0.8490201513107104,0.31031780919046215
FNN; Data,900,0.5941189452084366,0.3101660484774875
FNN; Data,1000,0.8478664349200121,0.30896864956228776
FNN; Data+Physics; $W_d=0.1$,300,0.2832864353676236,0.38994258537522863
FNN; Data+Physics; $W_d=0.1$,400,0.2190311413063966,0.33680715348460655
FNN; Data+Physics; $W_d=0.1$,500,0.21819913880724315,0.3427147590095768
FNN; Data+Physics; $W_d=0.1$,600,0.21803139479360945,0.39941821612662687
FNN; Data+Physics; $W_d=0.1$,700,0.21880684995992422,0.3998443108429561
FNN; Data+Physics; $W_d=0.1$,800,0.21736123367078033,0.3956522473240417
FNN; Data+Physics; $W_d=0.1$,900,0.2119980724302522,0.3549722315926851
FNN; Data+Physics; $W_d=0.1$,1000,0.21776436635822147,0.39563030909807373
FNN; Data+Physics; $W_d=1$,300,0.4637133339116724,0.44434206670414905
FNN; Data+Physics; $W_d=1$,400,0.638662908351832,0.3901250100037834
FNN; Data+Physics; $W_d=1$,500,0.6400993577059749,0.3885905218910587
FNN; Data+Physics; $W_d=1$,600,0.6435738672736868,0.3911957524272046
