DP 1	1027,5	0,97333333333333338	0,0165
DP 2	1175,8999999999999	0,28	0,047500000000000007
DP 3	137,1	0,65333333333333332	0,078500000000000014
DP 4	211,3	0,33333333333333337	0,10950000000000001
DP 5	285,5	0,8666666666666667	0,1405
DP 6	582,3	0,49333333333333335	0,17149999999999999
DP 7	656,5	0,54666666666666663	0,20249999999999999
DP 8	433,9	0,38666666666666671	0,2335
DP 9	730,69999999999993	0,81333333333333324	0,2645
DP 10	953,3	0,60000000000000009	0,2955
DP 11	508,09999999999997	0,44	0,3265
DP 12	1101,6999999999998	0,76	0,3575
DP 13	804,9	0,91999999999999993	0,3885
DP 14	879,09999999999991	0,22666666666666668	0,4195
DP 15	359,7	0,70666666666666678	0,45049999999999996
