model,u mean,u std,v mean,v std,p mean,p std
D+P,0.1,100,F,0.055247018299996856,0.014655674634846835,0.24964911974966525,0.12412937615401116,0.08689039908349513,0.051554613005682974
D+P,0.1,300,F,0.05529120396822691,0.01294087534056548,0.23910685181617736,0.10354792254195386,0.07503767963498831,0.0422677684724907
D+P,0.1,500,F,0.05896388869732618,0.011376607153863232,0.24715368673205376,0.09578053975414898,0.0657648503780365,0.03605098169595445
D+P,0.1,500,FC,0.008185831108130514,0.0028005875017402208,0.0521943099796772,0.01771528371095448,0.007181113678961992,0.005124347282219373
D+P,1,100,F,0.06312042959034443,0.015736243521737917,0.2615556977689266,0.12609092033552768,0.10931710842996836,0.0632896780548556
D+P,1,300,F,0.057730480842292306,0.008755264195987107,0.22083194106817244,0.09072700838856337,0.13194776866585017,0.06259953332284188
D+P,1,500,F,0.04204872008413076,0.008318194618237159,0.1509189486503601,0.05122257270839115,0.05334823476150632,0.028664827740984146
D+P,1,500,FC,0.004791019298136234,0.0023855765901189775,0.030747643020004035,0.011335822353368722,0.005899241898441687,0.00504302903721335
D,-,500,F,0.055841806996613744,0.03605147576489655,0.2601582515984774,0.18653074772934977,0.18840457051992415,0.11503832758464637
D,-,500,FC,0.003828292258549482,0.0017230766002460807,0.019285754766315222,0.010580132493457399,0.012168921175180003,0.018213221788167148
P,-,-,F,0.05921150948852301,0.019241437555313615,0.25404976643621924,0.13712389215416895,0.08712751986458897,0.05063403896075954
P,-,-,FC,0.3014873072504997,0.02845994157714591,0.7856502324342728,0.10468685934698609,0.406156612932682,0.1300911236130492
PD+P,1,-,F,0.20278214737772943,0.0602102212503011,0.6503308519721032,0.28396345092818015,0.22695505954325199,0.17558329230753617
PD+P,1,-,FC,0.28498556166887284,0.018538005218690423,0.8091950595378876,0.08676611348254751,0.22904904633760453,0.09474393897461825
