"step","downstreamPressure_DP104_190_0.33333333333333337_0.20350000000000001"
0.0,0.016381428
1000.0,-0.00044122257
2000.0,0.0022173983
3000.0,0.010674286
4000.0,0.024749024
5000.0,0.031261772
6000.0,0.048388924
7000.0,0.074125856
8000.0,0.09683121
9000.0,0.12672031
10000.0,0.15887046
11000.0,0.20490919
12000.0,0.23625407
13000.0,0.27289212
14000.0,0.30971846
15000.0,0.3638907
16000.0,0.4173165
17000.0,0.4550769
18000.0,0.5221654
19000.0,0.57927895
20000.0,0.62656575
21000.0,0.6353924
22000.0,0.7070396
23000.0,0.72950184
24000.0,0.7919257
25000.0,0.8226703
26000.0,0.8615261
27000.0,0.8657235
28000.0,0.90140134
29000.0,0.90586495
30000.0,0.88197905
31000.0,0.9601412
32000.0,0.9700984
33000.0,0.97625756
34000.0,0.9876664
35000.0,0.9963435
36000.0,1.0110428
37000.0,1.0389719
38000.0,1.0399786
39000.0,1.052774
40000.0,1.0422807
41000.0,1.047447
42000.0,1.0527275
43000.0,1.069469
44000.0,1.076261
45000.0,1.0733461
46000.0,1.0762966
47000.0,1.1114168
48000.0,1.0993785
49000.0,1.0794415
50000.0,1.1089194
51000.0,1.10757
52000.0,1.1134211
53000.0,1.1119223
54000.0,1.1311202
55000.0,1.1226293
56000.0,1.115809
57000.0,1.1343216
58000.0,1.1158946
59000.0,1.1417437
60000.0,1.1455092
61000.0,1.1382511
62000.0,1.1348188
63000.0,1.149295
64000.0,1.1455405
65000.0,1.1555372
66000.0,1.1510644
67000.0,1.1530013
68000.0,1.1603713
69000.0,1.1766403
70000.0,1.158629
71000.0,1.1916709
72000.0,1.1733122
73000.0,1.1851056
74000.0,1.1805494
75000.0,1.182152
76000.0,1.1893909
77000.0,1.1897194
78000.0,1.1842723
79000.0,1.2100279
80000.0,1.1972892
81000.0,1.2202222
82000.0,1.2082114
83000.0,1.2140015
84000.0,1.2275155
85000.0,1.2161894
86000.0,1.222419
87000.0,1.2379963
88000.0,1.2249644
89000.0,1.256207
90000.0,1.2568555
91000.0,1.2434418
92000.0,1.2583549
93000.0,1.2518406
94000.0,1.256091
95000.0,1.2719741
96000.0,1.2715597
97000.0,1.2690468
98000.0,1.2805979
99000.0,1.2769351
100000.0,1.2937746
101000.0,1.3027437
102000.0,1.3067508
103000.0,1.3063364
104000.0,1.2847323
105000.0,1.3253374
106000.0,1.3177471
107000.0,1.3325485
108000.0,1.3355815
109000.0,1.3386455
110000.0,1.3443185
111000.0,1.3572974
112000.0,1.3586915
113000.0,1.3787596
114000.0,1.3686885
115000.0,1.3719355
116000.0,1.3902175
117000.0,1.3962991
118000.0,1.3577431
119000.0,1.4007295
120000.0,1.399082
121000.0,1.4157553
122000.0,1.4194075
123000.0,1.435305
124000.0,1.4355946
125000.0,1.4501781
126000.0,1.4445491
127000.0,1.462566
128000.0,1.4853368
129000.0,1.4807866
130000.0,1.4758775
131000.0,1.4976275
132000.0,1.4774735
133000.0,1.4956391
134000.0,1.5316405
135000.0,1.5086639
