"step","upsteramPressureTot_100,0_0,5_0,001"
98000,9.998478
100000,10.008561
102000,10.013019
104000,10.018671
106000,10.017766
108000,10.012125
110000,10.017786
112000,10.017674
114000,10.019034
116000,10.021975
118000,10.02319
120000,10.020966
122000,10.023329
124000,10.021638
126000,10.024096
