"step","downsteramPressureTot_100,0_0,5_0,001"
98000,7.969083
100000,7.971882
102000,7.976248
104000,7.97801
106000,7.976247
108000,7.9738474
110000,7.979697
112000,7.9782143
114000,7.9772205
116000,7.9810524
118000,7.9813585
120000,7.981807
122000,7.982375
124000,7.982321
126000,7.981618
