"step","upsteramPressure_100,0_0,5_0,001"
98000,8.951736
100000,8.960184
102000,8.964739
104000,8.970177
106000,8.969371
108000,8.964069
110000,8.968691
112000,8.968654
114000,8.970124
116000,8.971922
118000,8.972869
120000,8.969622
122000,8.97314
124000,8.970312
126000,8.9737835
