"step","upstreamPressure_DP157_617.500-0.900-0.170-10.109-1.946-7.001-=7.00055"
102000.0,8.333044
103000.0,8.324116
104000.0,8.306477
105000.0,8.326099
106000.0,8.239925
107000.0,8.321692
108000.0,8.246019
109000.0,8.235576
110000.0,8.261088
111000.0,8.278427
112000.0,8.219827
113000.0,8.22998
114000.0,8.308853
115000.0,8.259283
116000.0,8.139637
117000.0,8.304393
118000.0,8.285917
119000.0,8.205673
120000.0,8.159051
121000.0,8.222424
122000.0,8.189641
123000.0,7.9893165
124000.0,8.238293
125000.0,8.253275
126000.0,8.238708
127000.0,8.100413
128000.0,8.18998
129000.0,8.125547
130000.0,7.9740705
131000.0,8.117477
132000.0,8.128479
133000.0,8.162127
134000.0,8.071177
135000.0,8.069066
136000.0,7.90666389465332
137000.0,8.095667839050293
138000.0,8.076889991760254
139000.0,7.983450412750244
140000.0,8.064926147460938
141000.0,8.046731948852539
142000.0,7.985408782958984
143000.0,8.063681602478027
144000.0,7.9548540115356445
145000.0,8.007219314575195
146000.0,7.9526448249816895
147000.0,8.00727653503418
148000.0,7.997118949890137
149000.0,7.946148872375488
150000.0,7.621426105499268
151000.0,7.901456832885742
152000.0,7.9073591232299805
153000.0,7.8985795974731445
154000.0,7.913546562194824
155000.0,7.861453056335449
156000.0,7.865788459777832
157000.0,7.835955619812012
158000.0,7.68455696105957
159000.0,7.837449073791504
160000.0,7.799968719482422
161000.0,7.786148548126221
162000.0,7.77099084854126
163000.0,7.774575233459473
164000.0,7.704903602600098
165000.0,7.700919151306152
166000.0,7.601520538330078
167000.0,7.7222723960876465
168000.0,7.716373920440674
169000.0,7.685208320617676
170000.0,7.6497368812561035
171000.0,7.672818183898926
172000.0,7.621110916137695
173000.0,7.635570526123047
174000.0,7.630264759063721
175000.0,7.59663200378418
176000.0,7.605571746826172
177000.0,7.563220024108887
178000.0,7.561046600341797
179000.0,7.545910835266113
180000.0,7.564122200012207
181000.0,7.529964447021484
182000.0,7.51701545715332
183000.0,7.5155158042907715
184000.0,7.509428024291992
185000.0,7.484575271606445
186000.0,7.410388946533203
187000.0,7.462832927703857
188000.0,7.493437767028809
189000.0,7.445650577545166
190000.0,7.46612548828125
191000.0,7.472999095916748
192000.0,7.456476211547852
193000.0,7.435348987579346
194000.0,7.490462303161621
195000.0,7.426155090332031
196000.0,7.252494812011719
197000.0,7.42314338684082
198000.0,7.4316086769104
199000.0,7.416752815246582
200000.0,7.402833938598633
201000.0,7.3832597732543945
202000.0,7.384390354156494
203000.0,7.406359672546387
204000.0,7.371243476867676
205000.0,7.345363616943359
206000.0,7.374222755432129
207000.0,7.344322204589844
208000.0,7.346968650817871
209000.0,7.342311382293701
210000.0,7.342132091522217
211000.0,7.329005718231201
212000.0,7.313187599182129
213000.0,7.32431697845459
214000.0,7.331294059753418
215000.0,7.310843467712402
216000.0,7.309239387512207
217000.0,7.297481536865234
218000.0,7.285627841949463
219000.0,7.254834175109863
220000.0,7.297343730926514
221000.0,7.278644561767578
222000.0,7.270820140838623
223000.0,7.264972686767578
224000.0,7.264711380004883
225000.0,7.266541957855225
226000.0,7.244478225708008
227000.0,7.260213851928711
228000.0,7.24766206741333
229000.0,7.221744537353516
230000.0,7.262075901031494
231000.0,7.229796886444092
232000.0,7.236685276031494
233000.0,7.215602874755859
234000.0,7.237397193908691
235000.0,7.210782527923584
236000.0,7.210291385650635
237000.0,7.213318824768066
238000.0,7.219959259033203
239000.0,7.204599380493164
240000.0,7.195943832397461
241000.0,7.205423355102539
242000.0,7.190235137939453
243000.0,7.188860893249512
244000.0,7.179095268249512
245000.0,7.163771152496338
246000.0,7.196524143218994
247000.0,7.175095558166504
248000.0,7.178942680358887
249000.0,7.158782482147217
250000.0,7.172395706176758
251000.0,7.166126728057861
252000.0,7.175963401794434
253000.0,7.16263484954834
254000.0,7.162092208862305
255000.0,7.14743185043335
256000.0,7.150088787078857
257000.0,7.145145416259766
258000.0,7.152780532836914
259000.0,7.155574798583984
260000.0,7.140219688415527
261000.0,7.146710395812988
262000.0,7.144911289215088
263000.0,7.1389265060424805
264000.0,7.13596773147583
265000.0,7.1382293701171875
266000.0,7.13912296295166
267000.0,7.137194633483887
268000.0,7.130259037017822
269000.0,7.126095771789551
270000.0,7.134028434753418
271000.0,7.1147356033325195
272000.0,7.12513542175293
273000.0,7.120401859283447
274000.0,7.127048492431641
275000.0,7.126367568969727
276000.0,7.111543655395508
277000.0,7.122705459594727
278000.0,7.106683731079102
279000.0,7.098959445953369
280000.0,7.115667819976807
281000.0,7.102083206176758
282000.0,7.108572483062744
283000.0,7.117456436157227
284000.0,7.115581512451172
285000.0,7.115009307861328
286000.0,7.089354991912842
287000.0,7.113000869750977
288000.0,7.095595359802246
289000.0,7.089882850646973
290000.0,7.0922465324401855
291000.0,7.099881649017334
292000.0,7.089340686798096
293000.0,7.095808982849121
294000.0,7.09212589263916
295000.0,7.0842790603637695
296000.0,7.092276096343994
297000.0,7.084885597229004
298000.0,7.101143836975098
299000.0,7.084954738616943
300000.0,7.082785606384277
