
[Name]
center

[Data]
X [ m ], Y [ m ], Z [ m ], Pressure [ Pa ], Velocity u [ m s^-1 ], Velocity v [ m s^-1 ]
-4.97411060e+00, 1.29018530e-01, 0.00000000e+00, 2.51925874e+00, 9.00635064e-01, -1.11396238e-03
-4.44681978e+00, 1.66441202e-01, 0.00000000e+00, 2.51213145e+00, 1.10605550e+00, -1.28977478e-03
-4.49666882e+00, 1.66879952e-01, 0.00000000e+00, 2.51281929e+00, 1.10837102e+00, -1.27693324e-03
-5.05124950e+00, 8.69784802e-02, 0.00000000e+00, 2.52018046e+00, 6.56366348e-01, -8.31254525e-04
-5.10131884e+00, 8.74558613e-02, 0.00000000e+00, 2.52079225e+00, 6.58520758e-01, -8.39613262e-04
-5.07521963e+00, 1.30489007e-01, 0.00000000e+00, 2.52046180e+00, 9.08774972e-01, -1.20817823e-03
-4.54656076e+00, 1.67353034e-01, 0.00000000e+00, 2.51350999e+00, 1.11088347e+00, -1.25954906e-03
-4.59653044e+00, 1.67724222e-01, 0.00000000e+00, 2.51419163e+00, 1.11285329e+00, -1.23825762e-03
-5.15138769e+00, 8.79332349e-02, 0.00000000e+00, 2.52144003e+00, 6.60396457e-01, -8.23718728e-04
-5.20145702e+00, 8.84106159e-02, 0.00000000e+00, 2.52212048e+00, 6.62230790e-01, -7.95397151e-04
-5.17669344e+00, 1.31045312e-01, 0.00000000e+00, 2.52188683e+00, 9.11711693e-01, -1.18871371e-03
-4.64649391e+00, 1.68155208e-01, 0.00000000e+00, 2.51487446e+00, 1.11514854e+00, -1.21613243e-03
-4.69650078e+00, 1.68522984e-01, 0.00000000e+00, 2.51555014e+00, 1.11710417e+00, -1.19400304e-03
-4.29815769e+00, 1.64298475e-01, 0.00000000e+00, 2.51010728e+00, 1.09469044e+00, -1.28394936e-03
-3.79634380e+00, 1.61119968e-01, 0.00000000e+00, 2.50300097e+00, 1.07866240e+00, -1.79901766e-03
-3.74630237e+00, 1.60696432e-01, 0.00000000e+00, 2.50227404e+00, 1.07654715e+00, -1.84038305e-03
-4.74648523e+00, 1.68961674e-01, 0.00000000e+00, 2.51622367e+00, 1.11944127e+00, -1.17338449e-03
-4.79649734e+00, 1.69370607e-01, 0.00000000e+00, 2.51688528e+00, 1.12161803e+00, -1.15412602e-03
-4.42368603e+00, 1.23581417e-01, 0.00000000e+00, 2.51180911e+00, 8.70595694e-01, -1.27787783e-03
-5.25152588e+00, 8.88879970e-02, 0.00000000e+00, 2.52282023e+00, 6.64264143e-01, -7.57024391e-04
-5.22710276e+00, 1.31161094e-01, 0.00000000e+00, 2.52258778e+00, 9.12325144e-01, -1.07218535e-03
-4.84649992e+00, 1.69880554e-01, 0.00000000e+00, 2.51755238e+00, 1.12433195e+00, -1.13376963e-03
-4.89656496e+00, 1.70482501e-01, 0.00000000e+00, 2.51823831e+00, 1.12753224e+00, -1.10739295e-03
-4.52357054e+00, 1.24555163e-01, 0.00000000e+00, 2.51318097e+00, 8.75936925e-01, -1.26880337e-03
-4.94674587e+00, 1.71276480e-01, 0.00000000e+00, 2.51892495e+00, 1.13177836e+00, -1.08129380e-03
-4.99723911e+00, 1.72407433e-01, 0.00000000e+00, 2.51951742e+00, 1.13790798e+00, -1.08845485e-03
-4.62358284e+00, 1.25444695e-01, 0.00000000e+00, 2.51454687e+00, 8.80836725e-01, -1.23630394e-03
-4.92389059e+00, 1.28352478e-01, 0.00000000e+00, 2.51858282e+00, 8.96981537e-01, -1.12907041e-03
-4.82371807e+00, 1.27246305e-01, 0.00000000e+00, 2.51723313e+00, 8.90867889e-01, -1.16158300e-03
-5.04828835e+00, 1.73654228e-01, 0.00000000e+00, 2.52002573e+00, 1.14471483e+00, -1.15866365e-03
-5.09991169e+00, 1.74588576e-01, 0.00000000e+00, 2.52079701e+00, 1.14974010e+00, -1.24923012e-03
-5.02454805e+00, 1.29841462e-01, 0.00000000e+00, 2.51986265e+00, 9.05215740e-01, -1.13949575e-03
-4.72364140e+00, 1.26324371e-01, 0.00000000e+00, 2.51590276e+00, 8.85720193e-01, -1.19665335e-03
-5.30159521e+00, 8.93653780e-02, 0.00000000e+00, 2.52352214e+00, 6.66458666e-01, -7.18703261e-04
-5.35166407e+00, 8.98427591e-02, 0.00000000e+00, 2.52422023e+00, 6.68794155e-01, -6.88826491e-04
-5.32731390e+00, 1.31631345e-01, 0.00000000e+00, 2.52396250e+00, 9.15004313e-01, -8.93106160e-04
-5.30306244e+00, 1.73519462e-01, 0.00000000e+00, 2.52369428e+00, 1.14438844e+00, -8.86569091e-04
-5.27727842e+00, 1.31352916e-01, 0.00000000e+00, 2.52327728e+00, 9.13410783e-01, -9.74209339e-04
-5.12601280e+00, 1.30979002e-01, 0.00000000e+00, 2.52115726e+00, 9.11403060e-01, -1.25553692e-03
-5.15154457e+00, 1.74361989e-01, 0.00000000e+00, 2.52163553e+00, 1.14844596e+00, -1.22115517e-03
-5.20257902e+00, 1.73869118e-01, 0.00000000e+00, 2.52236485e+00, 1.14600754e+00, -1.05580175e-03
-5.50187159e+00, 9.12748948e-02, 0.00000000e+00, 2.52626538e+00, 6.76660240e-01, -6.48054818e-04
-5.47716475e+00, 1.32770196e-01, 0.00000000e+00, 2.52597332e+00, 9.21540082e-01, -7.04697333e-04
-5.45180225e+00, 9.07975137e-02, 0.00000000e+00, 2.52559328e+00, 6.73860848e-01, -6.54063071e-04
-5.45259571e+00, 1.74217403e-01, 0.00000000e+00, 2.52567625e+00, 1.14810288e+00, -7.63219898e-04
-5.42722797e+00, 1.32348210e-01, 0.00000000e+00, 2.52531624e+00, 9.19128060e-01, -7.61680189e-04
-5.40173340e+00, 9.03201327e-02, 0.00000000e+00, 2.52491117e+00, 6.71255767e-01, -6.67539367e-04
-5.40278673e+00, 1.73889503e-01, 0.00000000e+00, 2.52502441e+00, 1.14640677e+00, -7.92045612e-04
-5.37728262e+00, 1.31970048e-01, 0.00000000e+00, 2.52464414e+00, 9.16952133e-01, -8.24109768e-04
-5.25299883e+00, 1.73567459e-01, 0.00000000e+00, 2.52303219e+00, 1.14454317e+00, -9.60466336e-04
-5.55194044e+00, 9.17522758e-02, 0.00000000e+00, 2.52692127e+00, 6.79728687e-01, -6.46241242e-04
-5.52708387e+00, 1.33277386e-01, 0.00000000e+00, 2.52661300e+00, 9.24393713e-01, -6.53947238e-04
-5.50238180e+00, 1.74674392e-01, 0.00000000e+00, 2.52631283e+00, 1.15042412e+00, -7.48050399e-04
-5.60200977e+00, 9.22296569e-02, 0.00000000e+00, 2.52755570e+00, 6.83135986e-01, -6.42343133e-04
-5.57695866e+00, 1.33944705e-01, 0.00000000e+00, 2.52722383e+00, 9.28082764e-01, -6.07950729e-04
-5.55210495e+00, 1.75361663e-01, 0.00000000e+00, 2.52693486e+00, 1.15389681e+00, -7.46449223e-04
-5.65207863e+00, 9.27070305e-02, 0.00000000e+00, 2.52819657e+00, 6.86904132e-01, -6.49398891e-04
-5.62676239e+00, 1.34861603e-01, 0.00000000e+00, 2.52777982e+00, 9.33083594e-01, -5.82267647e-04
-5.60170507e+00, 1.76413924e-01, 0.00000000e+00, 2.52750969e+00, 1.15925324e+00, -7.46843463e-04
-5.70214796e+00, 9.31844115e-02, 0.00000000e+00, 2.52888703e+00, 6.91000700e-01, -7.33521301e-04
-5.67649317e+00, 1.36117458e-01, 0.00000000e+00, 2.52829719e+00, 9.39831197e-01, -6.46034372e-04
-5.65112066e+00, 1.77963808e-01, 0.00000000e+00, 2.52797794e+00, 1.16724896e+00, -7.59749790e-04
-5.91474962e+00, 1.90328941e-01, 0.00000000e+00, 2.52984047e+00, 1.23467112e+00, -1.82393967e-04
-5.87662506e+00, 1.68400511e-01, 0.00000000e+00, 2.52984667e+00, 1.11746192e+00, -2.80632958e-04
-5.91290092e+00, 1.40071809e-01, 0.00000000e+00, 2.53172302e+00, 9.58484948e-01, -1.37416110e-03
-5.80228615e+00, 9.41391736e-02, 0.00000000e+00, 2.52963328e+00, 6.99464977e-01, -8.73632089e-04
-5.77682257e+00, 1.40316039e-01, 0.00000000e+00, 2.52966738e+00, 9.62230861e-01, -9.58846649e-04
-5.75221682e+00, 9.36617926e-02, 0.00000000e+00, 2.52948308e+00, 6.95382595e-01, -8.19733250e-04
-5.74935055e+00, 1.83162302e-01, 0.00000000e+00, 2.52924204e+00, 1.19440854e+00, -7.51565734e-04
