"step","downstreamPressureDiff_DP113_670_0.91999999999999993_0.3025"
0.0,-1.5888765
1000.0,-1.5784959
2000.0,-1.5644829
3000.0,-1.5679172
4000.0,-1.5642285
5000.0,-1.568474
6000.0,-1.5582892
7000.0,-1.5466775
8000.0,-1.5313891
9000.0,-1.5163046
10000.0,-1.4901237
11000.0,-1.5730427503585815
12000.0,-1.564570426940918
13000.0,-1.534361720085144
14000.0,-1.4995062351226807
15000.0,-1.4753880500793457
16000.0,-1.4249852895736694
17000.0,-1.4264566898345947
18000.0,-1.3540306091308594
19000.0,-1.3183743953704834
20000.0,-1.2389819622039795
21000.0,-1.1467427015304565
22000.0,-1.0859698057174683
23000.0,-0.9935274720191956
24000.0,-0.9931133985519409
25000.0,-0.8832216262817383
26000.0,-0.8379801511764526
27000.0,-0.785201907157898
28000.0,-0.7207525968551636
29000.0,-0.661436915397644
30000.0,-0.6457805037498474
31000.0,-0.6005678772926331
32000.0,-0.5555093288421631
33000.0,-0.5764710903167725
34000.0,-0.5130167007446289
35000.0,-0.4981856346130371
36000.0,-0.47591066360473633
37000.0,-0.43219244480133057
38000.0,-0.43253231048583984
39000.0,-0.4196974039077759
40000.0,-0.4324558973312378
41000.0,-0.3833385705947876
42000.0,-0.4012486934661865
43000.0,-0.380328893661499
44000.0,-0.4233285188674927
45000.0,-0.3860422372817993
46000.0,-0.3547053337097168
47000.0,-0.3252532482147217
48000.0,-0.32292771339416504
49000.0,-0.3465322256088257
50000.0,-0.3510936498641968
51000.0,-0.32208240032196045
52000.0,-0.3170804977416992
53000.0,-0.35311830043792725
54000.0,-0.3337972164154053
55000.0,-0.3295924663543701
56000.0,-0.2895376682281494
57000.0,-0.29761600494384766
58000.0,-0.30563974380493164
59000.0,-0.2916320562362671
60000.0,-0.3753631114959717
61000.0,-0.27771246433258057
62000.0,-0.27787327766418457
63000.0,-0.2811664342880249
64000.0,-0.2728893756866455
65000.0,-0.2773468494415283
66000.0,-0.29912471771240234
67000.0,-0.2553520202636719
68000.0,-0.39832425117492676
69000.0,-0.3628793954849243
70000.0,-0.29253697395324707
71000.0,-0.257828950881958
72000.0,-0.26434004306793213
73000.0,-0.2664613723754883
74000.0,-0.262401819229126
75000.0,-0.25722432136535645
76000.0,-0.26389622688293457
77000.0,-0.26848626136779785
78000.0,-0.25745999813079834
79000.0,-0.26409316062927246
80000.0,-0.26923811435699463
81000.0,-0.2357797622680664
82000.0,-0.26210951805114746
83000.0,-0.26569414138793945
84000.0,-0.3049048185348511
85000.0,-0.260115385055542
86000.0,-0.2701829671859741
87000.0,-0.2562141418457031
88000.0,-0.26869261264801025
89000.0,-0.25948190689086914
90000.0,-0.2567756175994873
91000.0,-0.2753492593765259
92000.0,-0.26101696491241455
93000.0,-0.25549185276031494
94000.0,-0.2672133445739746
95000.0,-0.2702336311340332
96000.0,-0.2820134162902832
97000.0,-0.27400636672973633
98000.0,-0.2625093460083008
99000.0,-0.26705801486968994
100000.0,-0.252016544342041
101000.0,-0.25769615173339844
102000.0,-0.26180148124694824
103000.0,-0.27087628841400146
104000.0,-0.26940155029296875
105000.0,-0.26852333545684814
106000.0,-0.2825491428375244
107000.0,-0.26355886459350586
108000.0,-0.252461314201355
109000.0,-0.27381837368011475
110000.0,-0.266359806060791
111000.0,-0.2603597640991211
112000.0,-0.26758265495300293
113000.0,-0.262101411819458
114000.0,-0.2747492790222168
115000.0,-0.32385754585266113
116000.0,-0.28041374683380127
117000.0,-0.248549222946167
118000.0,-0.273992657661438
119000.0,-0.30496978759765625
120000.0,-0.27868449687957764
121000.0,-0.2692546844482422
122000.0,-0.26943302154541016
123000.0,-0.2674802541732788
124000.0,-0.2675663232803345
125000.0,-0.26435136795043945
126000.0,-0.25880634784698486
127000.0,-0.26627910137176514
128000.0,-0.2665858268737793
129000.0,-0.26302528381347656
130000.0,-0.2767881155014038
131000.0,-0.27975594997406006
132000.0,-0.27204370498657227
133000.0,-0.27451395988464355
134000.0,-0.2780125141143799
135000.0,-0.2638847827911377
136000.0,-0.267339825630188
137000.0,-0.26210522651672363
138000.0,-0.27599334716796875
139000.0,-0.2548978328704834
140000.0,-0.2627742290496826
141000.0,-0.27113866806030273
142000.0,-0.28228092193603516
143000.0,-0.27016234397888184
144000.0,-0.2801361083984375
145000.0,-0.2635178565979004
146000.0,-0.2947089672088623
147000.0,-0.3412916660308838
148000.0,-0.31961894035339355
149000.0,-0.29743170738220215
150000.0,-0.2802164554595947
151000.0,-0.2955518960952759
152000.0,-0.29908835887908936
153000.0,-0.2733304500579834
154000.0,-0.28179383277893066
155000.0,-0.2682151794433594
156000.0,-0.28479814529418945
157000.0,-0.28132474422454834
158000.0,-0.28868138790130615
159000.0,-0.2932732105255127
160000.0,-0.2867041826248169
161000.0,-0.2877528667449951
162000.0,-0.28448283672332764
163000.0,-0.286527156829834
164000.0,-0.2901194095611572
165000.0,-0.279927134513855
166000.0,-0.28751111030578613
167000.0,-0.29163432121276855
168000.0,-0.2912245988845825
169000.0,-0.2977844476699829
170000.0,-0.29499566555023193
171000.0,-0.2913397550582886
172000.0,-0.2875250577926636
173000.0,-0.28345656394958496
174000.0,-0.2934746742248535
175000.0,-0.2926504611968994
176000.0,-0.2967228889465332
177000.0,-0.2996060848236084
178000.0,-0.29593896865844727
179000.0,-0.30261075496673584
180000.0,-0.30393528938293457
181000.0,-0.30640673637390137
182000.0,-0.30373048782348633
183000.0,-0.29786503314971924
184000.0,-0.2988542318344116
185000.0,-0.3051854372024536
186000.0,-0.3066434860229492
