"step","downstreamPressureDiff_DP105_250.00000000000003_0.8666666666666667_0.21450000000000002"
0.0,-1.6063852
1000.0,-1.5787317
2000.0,-1.5649668
3000.0,-1.5671731
4000.0,-1.562804
5000.0,-1.5651538
6000.0,-1.5515864
7000.0,-1.5390348
8000.0,-1.5235511
9000.0,-1.511888
10000.0,-1.4897969
11000.0,-1.573723316192627
12000.0,-1.5658900737762451
13000.0,-1.535094976425171
14000.0,-1.4932875633239746
15000.0,-1.4621093273162842
16000.0,-1.4131261110305786
17000.0,-1.4211238622665405
18000.0,-1.3541029691696167
19000.0,-1.3306386470794678
20000.0,-1.261545181274414
21000.0,-1.1745039224624634
22000.0,-1.129455804824829
23000.0,-1.0675891637802124
24000.0,-1.0422371625900269
25000.0,-0.9587428569793701
26000.0,-0.9045943021774292
27000.0,-0.8704192638397217
28000.0,-0.8300568461418152
29000.0,-0.7224823236465454
30000.0,-0.7690410614013672
31000.0,-0.7274367809295654
32000.0,-0.6770588755607605
33000.0,-0.6746044158935547
34000.0,-0.6317449808120728
35000.0,-0.6344431042671204
36000.0,-0.6074264049530029
37000.0,-0.5803060531616211
38000.0,-0.5803308486938477
39000.0,-0.5509054660797119
40000.0,-0.5627279281616211
41000.0,-0.5181682109832764
42000.0,-0.5470020771026611
43000.0,-0.5205626487731934
44000.0,-0.5496846437454224
45000.0,-0.5184731483459473
46000.0,-0.50010085105896
47000.0,-0.4760410785675049
48000.0,-0.474790096282959
49000.0,-0.4841432571411133
50000.0,-0.4859580993652344
51000.0,-0.46473872661590576
52000.0,-0.4492204189300537
53000.0,-0.46213531494140625
54000.0,-0.46314001083374023
55000.0,-0.471712589263916
56000.0,-0.4256114959716797
57000.0,-0.4359487295150757
58000.0,-0.451068639755249
59000.0,-0.4473135471343994
60000.0,-0.5099384784698486
61000.0,-0.44238388538360596
62000.0,-0.4316432476043701
63000.0,-0.4380002021789551
64000.0,-0.4023958444595337
65000.0,-0.42638158798217773
66000.0,-0.43660736083984375
67000.0,-0.3962883949279785
68000.0,-0.4520338773727417
69000.0,-0.4674713611602783
70000.0,-0.4168194532394409
71000.0,-0.3909590244293213
72000.0,-0.4057420492172241
73000.0,-0.4070780277252197
74000.0,-0.40309596061706543
75000.0,-0.40633249282836914
76000.0,-0.4089045524597168
77000.0,-0.4167732000350952
78000.0,-0.41443777084350586
79000.0,-0.41461896896362305
80000.0,-0.4216674566268921
81000.0,-0.3869898319244385
82000.0,-0.41553711891174316
83000.0,-0.4219576120376587
84000.0,-0.44254326820373535
85000.0,-0.4049031734466553
