"step","upstreamPressureDiff_DP114_730_0.22666666666666668_0.3135"
0.0,-4.4362564
1000.0,-4.3964715
2000.0,-4.3684087
3000.0,-4.3231087
4000.0,-4.2474794
5000.0,-4.2340517
6000.0,-4.063885
7000.0,-4.021889
8000.0,-3.8264556
9000.0,-3.6344948
10000.0,-3.4324725
11000.0,-4.317944526672363
12000.0,-4.018569469451904
13000.0,-3.8540430068969727
14000.0,-3.7239696979522705
15000.0,-3.562208652496338
16000.0,-3.416378974914551
17000.0,-3.5447826385498047
18000.0,-3.2082388401031494
19000.0,-3.141829490661621
20000.0,-2.942735195159912
21000.0,-2.790259838104248
22000.0,-2.6280581951141357
23000.0,-2.516861915588379
24000.0,-2.4984049797058105
25000.0,-2.3725287914276123
26000.0,-2.302798271179199
27000.0,-2.1842236518859863
28000.0,-2.101924419403076
29000.0,-2.098289966583252
30000.0,-1.9673597812652588
31000.0,-1.9091291427612305
32000.0,-1.8566551208496094
33000.0,-1.9772605895996094
34000.0,-1.7564408779144287
35000.0,-1.7601702213287354
36000.0,-1.7366046905517578
37000.0,-1.7812821865081787
38000.0,-1.6635527610778809
39000.0,-1.6713061332702637
40000.0,-1.7959017753601074
41000.0,-1.5636513233184814
42000.0,-1.6255488395690918
43000.0,-1.6566505432128906
44000.0,-1.6360435485839844
45000.0,-1.5690836906433105
46000.0,-1.4911954402923584
47000.0,-1.514427661895752
48000.0,-1.4850807189941406
49000.0,-1.517413854598999
50000.0,-1.5220155715942383
51000.0,-1.4489269256591797
52000.0,-1.4165277481079102
53000.0,-1.5614712238311768
54000.0,-1.4598908424377441
55000.0,-1.4432497024536133
56000.0,-1.4729745388031006
57000.0,-1.4090745449066162
58000.0,-1.4112882614135742
59000.0,-1.399437665939331
60000.0,-1.5713448524475098
61000.0,-1.3798620700836182
62000.0,-1.3751163482666016
63000.0,-1.339890956878662
64000.0,-1.4081151485443115
65000.0,-1.3454234600067139
66000.0,-1.391695261001587
67000.0,-1.3712525367736816
68000.0,-1.8824729919433594
69000.0,-1.461927890777588
70000.0,-1.3808784484863281
71000.0,-1.4309821128845215
72000.0,-1.3492887020111084
73000.0,-1.318223237991333
74000.0,-1.3390586376190186
75000.0,-1.3817543983459473
76000.0,-1.2816615104675293
77000.0,-1.3151471614837646
78000.0,-1.3103218078613281
79000.0,-1.360809326171875
80000.0,-1.3315820693969727
81000.0,-1.4404833316802979
82000.0,-1.3479018211364746
83000.0,-1.3623020648956299
84000.0,-1.4674830436706543
85000.0,-1.3812155723571777
86000.0,-1.322357416152954
87000.0,-1.3113160133361816
88000.0,-1.302772045135498
89000.0,-1.2881784439086914
90000.0,-1.29148530960083
91000.0,-1.3277549743652344
92000.0,-1.3938918113708496
93000.0,-1.2864127159118652
94000.0,-1.3680062294006348
95000.0,-1.334763526916504
96000.0,-1.2555127143859863
97000.0,-1.29158353805542
98000.0,-1.309617519378662
99000.0,-1.2989869117736816
100000.0,-1.266101598739624
101000.0,-1.2646558284759521
102000.0,-1.266172170639038
103000.0,-1.334273338317871
104000.0,-1.2686152458190918
105000.0,-1.2935914993286133
106000.0,-1.2693686485290527
107000.0,-1.2446997165679932
108000.0,-1.3101506233215332
109000.0,-1.4132518768310547
110000.0,-1.334768533706665
111000.0,-1.3101954460144043
112000.0,-1.27020263671875
113000.0,-1.301957130432129
114000.0,-1.2844839096069336
115000.0,-1.3572311401367188
116000.0,-1.2479248046875
117000.0,-1.2722585201263428
118000.0,-1.2809762954711914
119000.0,-1.3430736064910889
120000.0,-1.2135834693908691
121000.0,-1.2580318450927734
122000.0,-1.2030234336853027
123000.0,-1.2174098491668701
124000.0,-1.2723701000213623
125000.0,-1.230410099029541
126000.0,-1.244887351989746
127000.0,-1.2112271785736084
128000.0,-1.2774591445922852
129000.0,-1.2219347953796387
130000.0,-1.2956957817077637
131000.0,-1.2457857131958008
132000.0,-1.2066783905029297
133000.0,-1.509838581085205
134000.0,-1.3728232383728027
135000.0,-1.283376693725586
136000.0,-1.258840799331665
137000.0,-1.232858657836914
138000.0,-1.204286813735962
139000.0,-1.153090000152588
140000.0,-1.2074146270751953
141000.0,-1.1893949508666992
142000.0,-1.2366406917572021
143000.0,-1.2012691497802734
144000.0,-1.238452672958374
145000.0,-1.2951412200927734
146000.0,-1.3816003799438477
147000.0,-1.214630126953125
148000.0,-1.1655282974243164
149000.0,-1.1599044799804688
150000.0,-1.2580912113189697
151000.0,-1.217287540435791
152000.0,-1.176948070526123
153000.0,-1.2132196426391602
154000.0,-1.1659035682678223
155000.0,-1.208728551864624
156000.0,-1.1935229301452637
157000.0,-1.2090163230895996
158000.0,-1.1785197257995605
159000.0,-1.2940547466278076
160000.0,-1.2196903228759766
161000.0,-1.1917729377746582
162000.0,-1.1728143692016602
163000.0,-1.1843607425689697
164000.0,-1.1857571601867676
165000.0,-1.1921510696411133
166000.0,-1.1976618766784668
167000.0,-1.1931030750274658
168000.0,-1.3787412643432617
169000.0,-1.3284802436828613
170000.0,-1.2745757102966309
171000.0,-1.2544183731079102
172000.0,-1.219085454940796
173000.0,-1.1960327625274658
174000.0,-1.2054471969604492
175000.0,-1.2292804718017578
176000.0,-1.1907482147216797
177000.0,-1.1846189498901367
178000.0,-1.2071881294250488
179000.0,-1.240157127380371
180000.0,-1.2042877674102783
181000.0,-1.2197954654693604
182000.0,-1.1953411102294922
183000.0,-1.195955753326416
184000.0,-1.2766799926757812
185000.0,-1.2056677341461182
186000.0,-1.1958861351013184
187000.0,-1.211651086807251
188000.0,-1.2025389671325684
189000.0,-1.2564404010772705
190000.0,-1.227719783782959
191000.0,-1.2149925231933594
192000.0,-1.2047901153564453
193000.0,-1.1630825996398926
194000.0,-1.1941955089569092
195000.0,-1.204164743423462
196000.0,-1.3147962093353271
197000.0,-1.2626123428344727
198000.0,-1.235330581665039
199000.0,-1.2213292121887207
200000.0,-1.215047836303711
201000.0,-1.226273775100708
202000.0,-1.2170000076293945
203000.0,-1.2278273105621338
204000.0,-1.221590518951416
205000.0,-1.217315673828125
206000.0,-1.318617343902588
207000.0,-1.2575807571411133
208000.0,-1.2707505226135254
209000.0,-1.2348966598510742
210000.0,-1.2288122177124023
211000.0,-1.2352135181427002
212000.0,-1.2298946380615234
213000.0,-1.3631131649017334
214000.0,-1.3338971138000488
215000.0,-1.289320468902588
216000.0,-1.2669262886047363
217000.0,-1.2579035758972168
218000.0,-1.2511634826660156
219000.0,-1.252399206161499
220000.0,-1.2553966045379639
221000.0,-1.2513585090637207
222000.0,-1.259829044342041
223000.0,-1.2547721862792969
224000.0,-1.2432854175567627
225000.0,-1.2515673637390137
226000.0,-1.2570078372955322
227000.0,-1.270639419555664
228000.0,-1.27345609664917
229000.0,-1.2705764770507812
230000.0,-1.257035732269287
231000.0,-1.270289421081543
232000.0,-1.2704930305480957
233000.0,-1.2671399116516113
234000.0,-1.2947332859039307
235000.0,-1.2774720191955566
236000.0,-1.2754764556884766
237000.0,-1.279609203338623
238000.0,-1.2761218547821045
239000.0,-1.2809443473815918
240000.0,-1.2853307723999023
241000.0,-1.2818238735198975
242000.0,-1.287872314453125
243000.0,-1.2952136993408203
244000.0,-1.2957897186279297
245000.0,-1.2932093143463135
246000.0,-1.2965455055236816
247000.0,-1.2969794273376465
248000.0,-1.3056912422180176
249000.0,-1.301100730895996
250000.0,-1.2984743118286133
251000.0,-1.307464361190796
252000.0,-1.310854196548462
253000.0,-1.3131232261657715
254000.0,-1.3108346462249756
255000.0,-1.3158044815063477
256000.0,-1.3158879280090332
257000.0,-1.3165817260742188
258000.0,-1.322242259979248
259000.0,-1.3287928104400635
260000.0,-1.3232202529907227
261000.0,-1.3214735984802246
262000.0,-1.3292503356933594
263000.0,-1.3303661346435547
264000.0,-1.3313093185424805
265000.0,-1.3321399688720703
266000.0,-1.3419914245605469
267000.0,-1.3357257843017578
268000.0,-1.3437495231628418
269000.0,-1.3420796394348145
270000.0,-1.3429937362670898
271000.0,-1.346468448638916
272000.0,-1.3455796241760254
273000.0,-1.3481569290161133
274000.0,-1.3515734672546387
275000.0,-1.3526649475097656
276000.0,-1.3564302921295166
277000.0,-1.3567943572998047
278000.0,-1.3593931198120117
279000.0,-1.3619580268859863
280000.0,-1.3617630004882812
281000.0,-1.3631324768066406
282000.0,-1.3681797981262207
283000.0,-1.3654274940490723
284000.0,-1.3693997859954834
285000.0,-1.3727855682373047
286000.0,-1.3729619979858398
287000.0,-1.3739347457885742
288000.0,-1.377363681793213
289000.0,-1.3774173259735107
290000.0,-1.3823904991149902
291000.0,-1.3824787139892578
292000.0,-1.3856325149536133
293000.0,-1.3899948596954346
294000.0,-1.3892760276794434
295000.0,-1.390139102935791
296000.0,-1.3930718898773193
297000.0,-1.3953361511230469
298000.0,-1.3967554569244385
299000.0,-1.3985295295715332
300000.0,-1.3994219303131104
