"step","upstreamPressureDiff_DP101_849.99999999999989_0.97333333333333338_0.1705"
0.0,-4.413288
1000.0,-4.395834
2000.0,-4.3682084
3000.0,-4.3205476
4000.0,-4.243848
5000.0,-4.231788
6000.0,-4.058209
7000.0,-4.0107284
8000.0,-3.8086693
9000.0,-3.6252227
10000.0,-3.4184785
11000.0,-4.316132545471191
12000.0,-4.010020732879639
13000.0,-3.841709852218628
14000.0,-3.712850332260132
15000.0,-3.557711124420166
16000.0,-3.415309190750122
17000.0,-3.541111469268799
18000.0,-3.208950996398926
19000.0,-3.1330113410949707
20000.0,-2.9359683990478516
21000.0,-2.7789463996887207
22000.0,-2.6175971031188965
23000.0,-2.5222628116607666
24000.0,-2.49350643157959
25000.0,-2.3650569915771484
26000.0,-2.290057420730591
27000.0,-2.165487289428711
28000.0,-2.088290214538574
29000.0,-2.077099561691284
30000.0,-1.9505176544189453
31000.0,-1.894132137298584
32000.0,-1.844069480895996
33000.0,-1.9756646156311035
34000.0,-1.7456912994384766
35000.0,-1.7483487129211426
36000.0,-1.7218379974365234
37000.0,-1.7705624103546143
38000.0,-1.6526365280151367
39000.0,-1.6602869033813477
40000.0,-1.7848567962646484
41000.0,-1.5518426895141602
42000.0,-1.6053037643432617
43000.0,-1.6443336009979248
44000.0,-1.6209628582000732
45000.0,-1.5553803443908691
46000.0,-1.474052906036377
47000.0,-1.504798173904419
48000.0,-1.4647111892700195
49000.0,-1.5055928230285645
50000.0,-1.5110878944396973
51000.0,-1.4338665008544922
52000.0,-1.3980457782745361
53000.0,-1.5504179000854492
54000.0,-1.4458379745483398
55000.0,-1.4192626476287842
56000.0,-1.448826789855957
57000.0,-1.3888909816741943
58000.0,-1.3875985145568848
59000.0,-1.3742365837097168
60000.0,-1.5592689514160156
61000.0,-1.3595564365386963
62000.0,-1.3563899993896484
63000.0,-1.3179709911346436
64000.0,-1.383692741394043
65000.0,-1.3187968730926514
66000.0,-1.370586633682251
67000.0,-1.3479540348052979
68000.0,-1.8621506690979004
69000.0,-1.4446659088134766
70000.0,-1.363670825958252
71000.0,-1.4041547775268555
72000.0,-1.3245849609375
73000.0,-1.2916646003723145
74000.0,-1.3224341869354248
75000.0,-1.361626386642456
76000.0,-1.2598557472229004
77000.0,-1.2923076152801514
78000.0,-1.2877092361450195
79000.0,-1.3426790237426758
80000.0,-1.3124070167541504
81000.0,-1.4247379302978516
82000.0,-1.3258779048919678
83000.0,-1.3331334590911865
84000.0,-1.4479784965515137
85000.0,-1.3598980903625488
86000.0,-1.301520824432373
87000.0,-1.2898714542388916
88000.0,-1.2823615074157715
89000.0,-1.2692406177520752
90000.0,-1.2709755897521973
91000.0,-1.312394618988037
92000.0,-1.377406358718872
93000.0,-1.269578456878662
94000.0,-1.3523805141448975
95000.0,-1.3159880638122559
96000.0,-1.239882469177246
97000.0,-1.2709414958953857
98000.0,-1.2933359146118164
99000.0,-1.2795836925506592
100000.0,-1.2495417594909668
101000.0,-1.2479662895202637
102000.0,-1.2527852058410645
103000.0,-1.3163948059082031
104000.0,-1.2537808418273926
105000.0,-1.2789838314056396
106000.0,-1.2563252449035645
107000.0,-1.230161190032959
108000.0,-1.3007187843322754
109000.0,-1.3971810340881348
110000.0,-1.3150608539581299
111000.0,-1.2935295104980469
112000.0,-1.2544667720794678
113000.0,-1.2852201461791992
114000.0,-1.2679791450500488
115000.0,-1.3384430408477783
116000.0,-1.232576847076416
117000.0,-1.2572524547576904
118000.0,-1.2723479270935059
119000.0,-1.336289644241333
120000.0,-1.2084665298461914
121000.0,-1.249070405960083
122000.0,-1.197537899017334
123000.0,-1.2104551792144775
124000.0,-1.2705483436584473
125000.0,-1.227147102355957
126000.0,-1.239457130432129
127000.0,-1.208822250366211
128000.0,-1.269690990447998
129000.0,-1.2146267890930176
130000.0,-1.2958648204803467
131000.0,-1.243546485900879
132000.0,-1.2046318054199219
133000.0,-1.4968795776367188
134000.0,-1.3578693866729736
135000.0,-1.27046537399292
136000.0,-1.2496719360351562
137000.0,-1.2280893325805664
138000.0,-1.2048213481903076
139000.0,-1.1559107303619385
140000.0,-1.2068352699279785
141000.0,-1.19077730178833
142000.0,-1.235029697418213
143000.0,-1.2004787921905518
144000.0,-1.234227180480957
145000.0,-1.2884001731872559
146000.0,-1.3785481452941895
147000.0,-1.2141709327697754
148000.0,-1.166393756866455
149000.0,-1.1605298519134521
150000.0,-1.2599575519561768
151000.0,-1.2242114543914795
152000.0,-1.1836965084075928
153000.0,-1.2173385620117188
154000.0,-1.1720876693725586
155000.0,-1.2137556076049805
156000.0,-1.1977424621582031
157000.0,-1.2121694087982178
158000.0,-1.1841752529144287
159000.0,-1.2985634803771973
160000.0,-1.2246296405792236
161000.0,-1.1985588073730469
162000.0,-1.1802282333374023
163000.0,-1.1918911933898926
164000.0,-1.1925203800201416
165000.0,-1.1952309608459473
166000.0,-1.2029623985290527
167000.0,-1.1998920440673828
168000.0,-1.383758306503296
169000.0,-1.3289260864257812
170000.0,-1.2730622291564941
171000.0,-1.2526726722717285
172000.0,-1.219611644744873
173000.0,-1.1983439922332764
174000.0,-1.209263563156128
175000.0,-1.2320265769958496
176000.0,-1.1931335926055908
177000.0,-1.1894230842590332
178000.0,-1.212554931640625
179000.0,-1.2478525638580322
180000.0,-1.2094917297363281
181000.0,-1.2251758575439453
182000.0,-1.200833797454834
183000.0,-1.2016971111297607
184000.0,-1.2847001552581787
185000.0,-1.2128102779388428
186000.0,-1.2029962539672852
187000.0,-1.2193334102630615
188000.0,-1.2103614807128906
189000.0,-1.2630414962768555
190000.0,-1.2360081672668457
191000.0,-1.2242698669433594
192000.0,-1.214853048324585
193000.0,-1.1751971244812012
194000.0,-1.2040107250213623
195000.0,-1.2149598598480225
196000.0,-1.3257646560668945
197000.0,-1.2758312225341797
198000.0,-1.2475090026855469
199000.0,-1.23333740234375
200000.0,-1.227048635482788
201000.0,-1.2366952896118164
202000.0,-1.2277321815490723
203000.0,-1.237248420715332
204000.0,-1.2316901683807373
205000.0,-1.2287721633911133
206000.0,-1.3237338066101074
207000.0,-1.2653694152832031
208000.0,-1.2772712707519531
209000.0,-1.2442848682403564
210000.0,-1.2385644912719727
211000.0,-1.2457449436187744
212000.0,-1.2409071922302246
213000.0,-1.376530647277832
214000.0,-1.3456697463989258
215000.0,-1.3020589351654053
216000.0,-1.279249668121338
217000.0,-1.2700698375701904
218000.0,-1.263098955154419
219000.0,-1.2646806240081787
220000.0,-1.2675747871398926
221000.0,-1.2632856369018555
222000.0,-1.2703218460083008
223000.0,-1.2661547660827637
224000.0,-1.2531003952026367
225000.0,-1.2617387771606445
226000.0,-1.2686984539031982
227000.0,-1.2811317443847656
228000.0,-1.2841367721557617
229000.0,-1.281233549118042
230000.0,-1.268019199371338
231000.0,-1.2821834087371826
232000.0,-1.2825121879577637
233000.0,-1.2812151908874512
234000.0,-1.3106584548950195
235000.0,-1.2938547134399414
236000.0,-1.290041446685791
237000.0,-1.2938518524169922
238000.0,-1.2917389869689941
239000.0,-1.2969942092895508
240000.0,-1.2983112335205078
241000.0,-1.295093059539795
242000.0,-1.3015193939208984
243000.0,-1.3085150718688965
244000.0,-1.308779239654541
245000.0,-1.3069136142730713
246000.0,-1.3105626106262207
247000.0,-1.3108692169189453
248000.0,-1.3186707496643066
