
[Name]
center

[Data]
X [ m ], Y [ m ], Z [ m ], Pressure [ Pa ], Total Pressure [ Pa ], Velocity u [ m s^-1 ], Velocity v [ m s^-1 ]
-3.17240548e+00, 1.12474591e-01, 0.00000000e+00, 2.49309254e+00, 2.82517195e+00, 8.14956546e-01, -2.22817459e-03
-3.22244000e+00, 1.12918653e-01, 0.00000000e+00, 2.49397683e+00, 2.82763600e+00, 8.16892862e-01, -2.16107070e-03
-3.07234073e+00, 1.11583896e-01, 0.00000000e+00, 2.49126410e+00, 2.82028890e+00, 8.11198950e-01, -2.37519643e-03
-2.99841619e+00, 6.74059093e-02, 0.00000000e+00, 2.48976803e+00, 2.65248394e+00, 5.70464194e-01, -1.67651172e-03
-2.97227740e+00, 1.10673018e-01, 0.00000000e+00, 2.48933792e+00, 2.81539512e+00, 8.07532012e-01, -2.53824843e-03
-3.02230930e+00, 1.11126810e-01, 0.00000000e+00, 2.49031448e+00, 2.81782389e+00, 8.09328556e-01, -2.45512906e-03
-3.39896894e+00, 7.12249503e-02, 0.00000000e+00, 2.49688292e+00, 2.66763449e+00, 5.84380925e-01, -1.40432781e-03
-3.37255383e+00, 1.14261113e-01, 0.00000000e+00, 2.49652028e+00, 2.83517718e+00, 8.22988391e-01, -1.98589382e-03
-3.42259502e+00, 1.14712223e-01, 0.00000000e+00, 2.49733806e+00, 2.83773851e+00, 8.25104535e-01, -1.93626282e-03
-2.87220407e+00, 1.09753706e-01, 0.00000000e+00, 2.48730135e+00, 2.81055284e+00, 8.04049432e-01, -2.71493709e-03
-3.59924555e+00, 7.31344670e-02, 0.00000000e+00, 2.50005150e+00, 2.67534614e+00, 5.92104256e-01, -1.30956201e-03
-3.57272243e+00, 1.16065212e-01, 0.00000000e+00, 2.49970913e+00, 2.84550476e+00, 8.31617594e-01, -1.80677767e-03
-3.62276340e+00, 1.16523698e-01, 0.00000000e+00, 2.50047565e+00, 2.84815359e+00, 8.33878160e-01, -1.76924712e-03
-3.04848528e+00, 6.78832904e-02, 0.00000000e+00, 2.49073100e+00, 2.65436268e+00, 5.72066784e-01, -1.63404306e-03
-3.27247548e+00, 1.13369256e-01, 0.00000000e+00, 2.49484158e+00, 2.83014774e+00, 8.18906605e-01, -2.09786883e-03
-3.44903827e+00, 7.17023313e-02, 0.00000000e+00, 2.49769425e+00, 2.66955638e+00, 5.86278439e-01, -1.37849269e-03
-3.47263598e+00, 1.15171775e-01, 0.00000000e+00, 2.49814057e+00, 2.84035420e+00, 8.27298820e-01, -1.89008331e-03
-2.82215929e+00, 1.09284282e-01, 0.00000000e+00, 2.48623490e+00, 2.80812168e+00, 8.02350283e-01, -2.80774524e-03
-3.24876165e+00, 6.97928071e-02, 0.00000000e+00, 2.49435687e+00, 2.66190934e+00, 5.78880966e-01, -1.49114721e-03
-2.84820890e+00, 6.59737736e-02, 0.00000000e+00, 2.48671079e+00, 2.64685678e+00, 5.65940261e-01, -1.81186781e-03
-2.14796662e+00, 5.92973717e-02, 0.00000000e+00, 2.46649909e+00, 2.61522460e+00, 5.45385301e-01, -2.45412253e-03
-2.19731045e+00, 5.97678348e-02, 0.00000000e+00, 2.46801376e+00, 2.62033558e+00, 5.51941335e-01, -2.12596124e-03
-2.16355538e+00, 9.75120589e-02, 0.00000000e+00, 2.46711516e+00, 2.75232482e+00, 7.55253315e-01, -3.44476546e-03
-2.19736671e+00, 1.06118880e-01, 0.00000000e+00, 2.46820116e+00, 2.79028487e+00, 8.02590430e-01, -3.96948121e-03
-2.23209286e+00, 1.00464828e-01, 0.00000000e+00, 2.46894383e+00, 2.76515102e+00, 7.69676387e-01, -3.59596824e-03
-1.63608086e+00, 5.44168390e-02, 0.00000000e+00, 2.43078113e+00, 2.56754208e+00, 5.22981584e-01, -3.46754352e-03
-1.66599822e+00, 5.47020845e-02, 0.00000000e+00, 2.43328404e+00, 2.56956458e+00, 5.22064388e-01, -3.15072061e-03
-1.65055263e+00, 7.96714053e-02, 0.00000000e+00, 2.43217778e+00, 2.67225528e+00, 6.92906916e-01, -5.91607112e-03
-2.24737954e+00, 6.02452159e-02, 0.00000000e+00, 2.46935701e+00, 2.61889768e+00, 5.46880484e-01, -1.73392612e-03
-2.27693272e+00, 1.00263402e-01, 0.00000000e+00, 2.47080135e+00, 2.76548481e+00, 7.67695427e-01, -3.25468439e-03
-1.81558502e+00, 5.61283082e-02, 0.00000000e+00, 2.44508266e+00, 2.58079720e+00, 5.20985961e-01, -1.62702426e-03
-1.84550238e+00, 5.64135499e-02, 0.00000000e+00, 2.44733071e+00, 2.58329916e+00, 5.21474063e-01, -1.37017202e-03
-1.82979763e+00, 8.16057101e-02, 0.00000000e+00, 2.44628072e+00, 2.68262196e+00, 6.87512457e-01, -3.08893248e-03
-1.97840261e+00, 8.50296468e-02, 0.00000000e+00, 2.45657516e+00, 2.69915390e+00, 6.96530402e-01, -1.82183320e-03
-2.00935435e+00, 8.75377133e-02, 0.00000000e+00, 2.45850921e+00, 2.70979142e+00, 7.08914816e-01, -2.11181212e-03
-1.99050200e+00, 1.14268519e-01, 0.00000000e+00, 2.45722365e+00, 2.83079743e+00, 8.64366293e-01, -4.29210998e-03
-2.29744864e+00, 6.07225969e-02, 0.00000000e+00, 2.47153378e+00, 2.62212729e+00, 5.48801541e-01, -1.98215386e-03
-2.32461929e+00, 1.01186000e-01, 0.00000000e+00, 2.47254062e+00, 2.76973844e+00, 7.70964503e-01, -3.11518623e-03
-1.79992533e+00, 8.12561810e-02, 0.00000000e+00, 2.44403529e+00, 2.68062520e+00, 6.87871754e-01, -3.52499634e-03
-1.81412768e+00, 1.06741920e-01, 0.00000000e+00, 2.44539905e+00, 2.79833674e+00, 8.40143621e-01, -5.87810297e-03
-2.10104752e+00, 5.88500239e-02, 0.00000000e+00, 2.46394897e+00, 2.61017776e+00, 5.40788770e-01, -2.19671708e-03
-2.12195778e+00, 9.42072347e-02, 0.00000000e+00, 2.46466374e+00, 2.73836708e+00, 7.39863098e-01, -3.00454628e-03
-2.13904691e+00, 1.30796149e-01, 0.00000000e+00, 2.46539831e+00, 2.91191387e+00, 9.44989920e-01, -5.01662632e-03
-1.62068176e+00, 7.93785006e-02, 0.00000000e+00, 2.42965007e+00, 2.67089653e+00, 6.94587469e-01, -6.41976157e-03
-1.63514972e+00, 1.04619682e-01, 0.00000000e+00, 2.43124866e+00, 2.79231358e+00, 8.49729717e-01, -9.44386516e-03
-2.34751797e+00, 6.11999743e-02, 0.00000000e+00, 2.47338986e+00, 2.62496686e+00, 5.50590396e-01, -1.98185560e-03
-2.37340760e+00, 1.02336273e-01, 0.00000000e+00, 2.47424936e+00, 2.77507162e+00, 7.75651276e-01, -3.11910128e-03
-1.75575030e+00, 5.55578172e-02, 0.00000000e+00, 2.44048095e+00, 2.57605863e+00, 5.20721138e-01, -2.21244572e-03
-1.78566766e+00, 5.58430627e-02, 0.00000000e+00, 2.44279885e+00, 2.57838511e+00, 5.20738959e-01, -1.91218569e-03
-1.77004635e+00, 8.09264481e-02, 0.00000000e+00, 2.44174838e+00, 2.67876744e+00, 6.88492715e-01, -3.98130156e-03
-2.08099723e+00, 9.20268595e-02, 0.00000000e+00, 2.46239638e+00, 2.72903156e+00, 7.30248809e-01, -2.66263122e-03
-2.06048226e+00, 1.23797759e-01, 0.00000000e+00, 2.46123862e+00, 2.87702727e+00, 9.11895990e-01, -4.81680594e-03
-2.04326916e+00, 8.99577960e-02, 0.00000000e+00, 2.46043801e+00, 2.72012091e+00, 7.20666289e-01, -2.39793863e-03
-2.09929967e+00, 1.27113372e-01, 0.00000000e+00, 2.46320105e+00, 2.89321351e+00, 9.27362561e-01, -4.89275809e-03
-1.78429890e+00, 1.06335975e-01, 0.00000000e+00, 2.44315505e+00, 2.79695725e+00, 8.41167927e-01, -6.40704948e-03
-1.75446188e+00, 1.05964877e-01, 0.00000000e+00, 2.44086695e+00, 2.79577971e+00, 8.42482507e-01, -6.97029522e-03
-1.69591558e+00, 5.49873300e-02, 0.00000000e+00, 2.43572998e+00, 2.57165527e+00, 5.21385252e-01, -2.83489330e-03
-1.72583294e+00, 5.52725717e-02, 0.00000000e+00, 2.43812656e+00, 2.57381773e+00, 5.20937562e-01, -2.52125948e-03
-1.71029842e+00, 8.02845359e-02, 0.00000000e+00, 2.43705821e+00, 2.67531276e+00, 6.90278590e-01, -4.93178144e-03
-1.87541974e+00, 5.66987954e-02, 0.00000000e+00, 2.44953632e+00, 2.58591652e+00, 5.22263408e-01, -1.16388360e-03
-1.90533710e+00, 5.69840409e-02, 0.00000000e+00, 2.45170712e+00, 2.58870316e+00, 5.23441732e-01, -1.03507319e-03
-1.88949132e+00, 8.23280513e-02, 0.00000000e+00, 2.45059872e+00, 2.68677855e+00, 6.87280178e-01, -2.29922333e-03
-1.99508917e+00, 5.78397736e-02, 0.00000000e+00, 2.45801258e+00, 2.59905171e+00, 5.31109512e-01, -1.10399141e-03
-2.02546215e+00, 5.81293628e-02, 0.00000000e+00, 2.45984650e+00, 2.60258150e+00, 5.34292161e-01, -1.39005377e-03
-2.06004405e+00, 5.84590808e-02, 0.00000000e+00, 2.46172595e+00, 2.60610557e+00, 5.37360430e-01, -1.74948177e-03
-1.85966885e+00, 8.19483921e-02, 0.00000000e+00, 2.44847393e+00, 2.68462086e+00, 6.87231123e-01, -2.67688953e-03
-1.87378943e+00, 1.07594781e-01, 0.00000000e+00, 2.44973278e+00, 2.80128765e+00, 8.38501692e-01, -4.94789053e-03
