"step","inlet_flow"
0.0,1.338917
2000.0,1.3437253
4000.0,1.3443697690963745
8000.0,1.343846082687378
10000.0,1.3436260223388672
12000.0,1.3435416221618652
14000.0,1.3437554836273193
16000.0,1.3435325622558594
18000.0,1.343491554260254
20000.0,1.3432327508926392
22000.0,1.3431861400604248
24000.0,1.3432910442352295
26000.0,1.3434782028198242
28000.0,1.343400478363037
30000.0,1.3434062004089355
32000.0,1.343222975730896
34000.0,1.3433218002319336
36000.0,1.3434418439865112
38000.0,1.34335196018219
40000.0,1.3432778120040894
42000.0,1.343186378479004
44000.0,1.3434422016143799
46000.0,1.343393087387085
48000.0,1.3433301448822021
50000.0,1.3432670831680298
52000.0,1.3434432744979858
54000.0,1.3432894945144653
56000.0,1.3432976007461548
58000.0,1.3433139324188232
60000.0,1.343410849571228
62000.0,1.3433310985565186
64000.0,1.3434770107269287
66000.0,1.3436534404754639
68000.0,1.3436555862426758
70000.0,1.3433384895324707
72000.0,1.3436012268066406
74000.0,1.3434343338012695
76000.0,1.3433244228363037
78000.0,1.343376636505127
80000.0,1.3435018062591553
82000.0,1.3434137105941772
84000.0,1.3435922861099243
86000.0,1.343353271484375
88000.0,1.343361496925354
90000.0,1.3433005809783936
92000.0,1.3433693647384644
94000.0,1.3434391021728516
96000.0,1.3433493375778198
98000.0,1.3432791233062744
100000.0,1.343587875366211
102000.0,1.3433505296707153
104000.0,1.343516230583191
106000.0,1.3433218002319336
108000.0,1.343360185623169
110000.0,1.3432996273040771
112000.0,1.343475341796875
114000.0,1.343373417854309
116000.0,1.3433101177215576
118000.0,1.34333074092865
120000.0,1.3433644771575928
122000.0,1.34333074092865
124000.0,1.343209981918335
126000.0,1.343242883682251
128000.0,1.3433160781860352
130000.0,1.3432821035385132
132000.0,1.3433386087417603
134000.0,1.343308448791504
136000.0,1.3432245254516602
138000.0,1.343289852142334
140000.0,1.343355655670166
142000.0,1.343329668045044
144000.0,1.343416452407837
146000.0,1.343297004699707
148000.0,1.3434451818466187
150000.0,1.343307375907898
152000.0,1.3432811498641968
154000.0,1.3433566093444824
156000.0,1.3433501720428467
158000.0,1.3432977199554443
160000.0,1.3433115482330322
162000.0,1.343293309211731
164000.0,1.343291997909546
166000.0,1.3433332443237305
168000.0,1.3432782888412476
170000.0,1.3434407711029053
172000.0,1.3434362411499023
174000.0,1.3434616327285767
176000.0,1.3433197736740112
178000.0,1.3433557748794556
180000.0,1.3432657718658447
182000.0,1.3432831764221191
184000.0,1.343295693397522
186000.0,1.3433520793914795
188000.0,1.3433523178100586
190000.0,1.3432881832122803
192000.0,1.3432903289794922
194000.0,1.3433935642242432
196000.0,1.3434512615203857
198000.0,1.3434338569641113
200000.0,1.343345284461975
202000.0,1.3432676792144775
204000.0,1.3433334827423096
206000.0,1.343205213546753
208000.0,1.3433973789215088
210000.0,1.3434128761291504
212000.0,1.343336582183838
214000.0,1.343388557434082
216000.0,1.3434544801712036
218000.0,1.3433386087417603
220000.0,1.3433036804199219
222000.0,1.343308687210083
224000.0,1.343329906463623
226000.0,1.3434038162231445
228000.0,1.3433773517608643
230000.0,1.3433657884597778
232000.0,1.3433263301849365
234000.0,1.3433122634887695
236000.0,1.343375325202942
238000.0,1.3433308601379395
240000.0,1.3434110879898071
242000.0,1.3434052467346191
244000.0,1.3433499336242676
246000.0,1.3433928489685059
248000.0,1.3433246612548828
250000.0,1.3433778285980225
252000.0,1.343367099761963
254000.0,1.3432221412658691
256000.0,1.3433544635772705
258000.0,1.3434150218963623
260000.0,1.343397617340088
262000.0,1.3434029817581177
264000.0,1.3433077335357666
266000.0,1.3433231115341187
268000.0,1.343294382095337
270000.0,1.3433383703231812
272000.0,1.343368411064148
274000.0,1.3432531356811523
276000.0,1.3433637619018555
278000.0,1.343200922012329
280000.0,1.3433711528778076
282000.0,1.3433926105499268
284000.0,1.343186378479004
286000.0,1.343375325202942
288000.0,1.3433725833892822
290000.0,1.343320369720459
292000.0,1.343364953994751
294000.0,1.3433125019073486
296000.0,1.3434542417526245
298000.0,1.3433457612991333
300000.0,1.3432750701904297
