"step","downstreamPressure"
0.0,0.008683324
1000.0,1.0580864
2000.0,0.93602026
3000.0,1.1036489
4000.0,1.1419556
5000.0,1.0982916
6000.0,1.0856311
7000.0,1.0863097
8000.0,1.0877004
9000.0,1.0859035
10000.0,1.0854473
11000.0,1.0847421
12000.0,1.0846546
13000.0,1.0851805
14000.0,1.0859493
15000.0,1.0842270851135254
16000.0,1.0842337608337402
17000.0,1.0840023756027222
18000.0,1.0849506855010986
19000.0,1.0837581157684326
20000.0,1.0845590829849243
21000.0,1.0841243267059326
22000.0,1.0839276313781738
23000.0,1.0841530561447144
24000.0,1.0842019319534302
25000.0,1.0841054916381836
26000.0,1.0844287872314453
27000.0,1.0845752954483032
28000.0,1.0841174125671387
29000.0,1.0838568210601807
30000.0,1.0837492942810059
31000.0,1.0833656787872314
32000.0,1.0837174654006958
33000.0,1.0827357769012451
34000.0,1.0836997032165527
35000.0,1.082689642906189
36000.0,1.0836265087127686
37000.0,1.0824823379516602
38000.0,1.0835318565368652
39000.0,1.0833969116210938
40000.0,1.0823243856430054
41000.0,1.0826897621154785
42000.0,1.0828289985656738
43000.0,1.0823763608932495
44000.0,1.0821582078933716
45000.0,1.0823140144348145
46000.0,1.0821772813796997
47000.0,1.0822086334228516
48000.0,1.0819951295852661
49000.0,1.082580327987671
50000.0,1.0822678804397583
51000.0,1.081262469291687
52000.0,1.08086359500885
53000.0,1.0813930034637451
54000.0,1.0816571712493896
55000.0,1.0816819667816162
56000.0,1.0814038515090942
57000.0,1.0817673206329346
58000.0,1.081181287765503
59000.0,1.0814688205718994
60000.0,1.0815221071243286
61000.0,1.0816125869750977
62000.0,1.0819453001022339
63000.0,1.0817582607269287
64000.0,1.0819246768951416
65000.0,1.0822784900665283
66000.0,1.0817370414733887
67000.0,1.0820038318634033
68000.0,1.0821533203125
69000.0,1.0816491842269897
70000.0,1.081519603729248
71000.0,1.0818054676055908
72000.0,1.0818215608596802
73000.0,1.0825631618499756
74000.0,1.082085371017456
75000.0,1.0816681385040283
76000.0,1.0820927619934082
