"step","upstreamPressure"
0.0,0.0032220366
1000.0,3.3539834
2000.0,3.5364628
3000.0,3.41116
4000.0,3.2647834
5000.0,3.3509936
6000.0,3.3395252
7000.0,3.3344834
8000.0,3.3361611
9000.0,3.3362484
10000.0,3.3371487
11000.0,3.3351376
12000.0,3.3369527
13000.0,3.337543
14000.0,3.339192
15000.0,3.3372011184692383
16000.0,3.3371381759643555
17000.0,3.3369665145874023
18000.0,3.337344169616699
19000.0,3.3371965885162354
20000.0,3.3362698554992676
21000.0,3.3362064361572266
22000.0,3.3356802463531494
23000.0,3.33575439453125
24000.0,3.3355770111083984
25000.0,3.3352651596069336
26000.0,3.3367533683776855
27000.0,3.3369550704956055
28000.0,3.3356711864471436
29000.0,3.3350281715393066
30000.0,3.335033893585205
31000.0,3.3341288566589355
32000.0,3.3352108001708984
33000.0,3.3340158462524414
34000.0,3.3340604305267334
35000.0,3.333225965499878
36000.0,3.3348681926727295
37000.0,3.3335602283477783
38000.0,3.3344874382019043
39000.0,3.3361144065856934
40000.0,3.3329317569732666
41000.0,3.3336100578308105
42000.0,3.3340096473693848
43000.0,3.332529067993164
44000.0,3.3337223529815674
45000.0,3.3338143825531006
46000.0,3.333440065383911
47000.0,3.3331096172332764
48000.0,3.334017038345337
49000.0,3.333958625793457
50000.0,3.3342418670654297
51000.0,3.3320260047912598
52000.0,3.3340182304382324
53000.0,3.334782600402832
54000.0,3.335454225540161
55000.0,3.3361096382141113
56000.0,3.3365206718444824
57000.0,3.3357596397399902
58000.0,3.3345608711242676
59000.0,3.3357033729553223
60000.0,3.3341097831726074
61000.0,3.3339602947235107
62000.0,3.3359925746917725
63000.0,3.335477828979492
64000.0,3.33555269241333
65000.0,3.3359878063201904
66000.0,3.3343095779418945
67000.0,3.335679531097412
68000.0,3.3356032371520996
69000.0,3.3352956771850586
70000.0,3.3355510234832764
71000.0,3.334951400756836
72000.0,3.335752248764038
73000.0,3.3352832794189453
74000.0,3.3354110717773438
75000.0,3.334547519683838
76000.0,3.333890199661255
