
[Name]
Plane P1

[Data]
X [ m ], Y [ m ], Z [ m ], Area [ m^2 ], Pressure [ Pa ], Total Pressure [ Pa ]
-2.00000000e+00, 4.66809452e-01, -1.99999996e-02, 2.93238467e-04, 9.14279366e+00, 1.11347275e+01
-2.00000000e+00, 4.66809452e-01, 1.99999996e-02, 2.93238467e-04, 9.14279366e+00, 1.11347275e+01
-2.00000000e+00, 4.55774307e-01, 1.99999996e-02, 2.89227086e-04, 9.14255428e+00, 1.11245041e+01
-2.00000000e+00, 4.55774307e-01, -1.99999996e-02, 2.89227086e-04, 9.14255428e+00, 1.11245060e+01
-2.00000000e+00, 4.37886775e-01, 1.99999996e-02, 2.35802232e-04, 9.14164352e+00, 1.10968761e+01
-2.00000000e+00, 4.37886775e-01, -1.99999996e-02, 2.35802232e-04, 9.14164352e+00, 1.10968771e+01
-2.00000000e+00, 4.32194054e-01, 1.99999996e-02, 9.38689627e-05, 9.14124012e+00, 1.10877218e+01
-2.00000000e+00, 4.32194054e-01, -1.99999996e-02, 9.38689627e-05, 9.14124012e+00, 1.10877228e+01
-2.00000000e+00, 4.85098124e-01, 1.99999996e-02, 2.81867658e-04, 9.14335155e+00, 1.11432953e+01
-2.00000000e+00, 4.85098124e-01, -1.99999996e-02, 2.81867658e-04, 9.14335155e+00, 1.11432953e+01
-2.00000000e+00, 5.26237249e-01, -1.99999996e-02, 2.46627314e-04, 9.14530373e+00, 1.11351919e+01
-2.00000000e+00, 5.26237249e-01, 1.99999996e-02, 2.46627314e-04, 9.14530373e+00, 1.11351910e+01
-2.00000000e+00, 5.40491343e-01, 1.99999996e-02, 2.61058798e-04, 9.14611626e+00, 1.11241369e+01
-2.00000000e+00, 5.40491343e-01, -1.99999996e-02, 2.61058798e-04, 9.14611626e+00, 1.11241379e+01
-2.00000000e+00, 4.94996250e-01, -1.99999996e-02, 3.07304261e-04, 9.14374542e+00, 1.11452618e+01
-2.00000000e+00, 4.94996250e-01, 1.99999996e-02, 3.07304261e-04, 9.14374542e+00, 1.11452618e+01
-2.00000000e+00, 5.15828550e-01, 1.99999996e-02, 3.12410586e-04, 9.14469051e+00, 1.11423931e+01
-2.00000000e+00, 5.15828550e-01, -1.99999996e-02, 3.12410586e-04, 9.14469051e+00, 1.11423931e+01
-2.00000000e+00, 5.52343190e-01, 1.99999996e-02, 2.79578555e-04, 9.14685822e+00, 1.11053839e+01
-2.00000000e+00, 5.52343190e-01, -1.99999996e-02, 2.79578555e-04, 9.14685822e+00, 1.11053848e+01
-2.00000000e+00, 5.92980146e-01, -1.99999996e-02, 2.62573973e-04, 9.14912701e+00, 1.10177565e+01
-2.00000000e+00, 5.92980146e-01, 1.99999996e-02, 2.62573973e-04, 9.14912701e+00, 1.10177565e+01
-2.00000000e+00, 5.94706535e-01, 1.99999996e-02, 2.98595405e-05, 9.14919758e+00, 1.10134811e+01
-2.00000000e+00, 5.94706535e-01, -1.99999996e-02, 2.98595405e-05, 9.14919758e+00, 1.10134811e+01
-2.00000000e+00, 5.68449140e-01, 1.99999996e-02, 4.06369567e-04, 9.14776325e+00, 1.10791855e+01
-2.00000000e+00, 5.68449140e-01, -1.99999996e-02, 4.06369567e-04, 9.14776325e+00, 1.10791855e+01
-2.00000000e+00, 5.95966041e-01, 1.99999996e-02, 2.47459393e-04, 9.14925289e+00, 1.10093317e+01
-2.00000000e+00, 5.95966041e-01, -1.99999996e-02, 2.47459393e-04, 9.14925289e+00, 1.10093317e+01
-2.00000000e+00, 6.19452477e-01, -1.99999996e-02, 4.61559277e-04, 9.14991283e+00, 1.09311943e+01
-2.00000000e+00, 6.19452477e-01, 1.99999996e-02, 4.61559277e-04, 9.14991283e+00, 1.09311943e+01
-2.00000000e+00, 6.42122090e-01, 1.99999996e-02, 2.46250624e-04, 9.15074348e+00, 1.08401375e+01
-2.00000000e+00, 6.42122090e-01, -1.99999996e-02, 2.46250624e-04, 9.15074348e+00, 1.08401384e+01
-2.00000000e+00, 6.44077539e-01, 1.99999996e-02, 5.03480405e-05, 9.15079021e+00, 1.08322229e+01
-2.00000000e+00, 6.44077539e-01, -1.99999996e-02, 5.03480405e-05, 9.15079021e+00, 1.08322239e+01
-2.00000000e+00, 6.47156835e-01, 1.99999996e-02, 2.61611945e-04, 9.15087509e+00, 1.08178339e+01
-2.00000000e+00, 6.47156835e-01, -1.99999996e-02, 2.61611945e-04, 9.15087509e+00, 1.08178349e+01
-2.00000000e+00, 6.70238733e-01, 1.99999996e-02, 3.88882152e-04, 9.15124130e+00, 1.07103195e+01
-2.00000000e+00, 6.70238733e-01, -1.99999996e-02, 3.88882152e-04, 9.15124130e+00, 1.07103195e+01
-2.00000000e+00, 6.86045051e-01, -1.99999996e-02, 2.75422324e-04, 9.15159893e+00, 1.06279106e+01
-2.00000000e+00, 6.86045051e-01, 1.99999996e-02, 2.75422324e-04, 9.15159893e+00, 1.06279097e+01
-2.00000000e+00, 6.97780907e-01, 1.99999996e-02, 2.49793520e-04, 9.15176582e+00, 1.05664911e+01
