"Points:0","Points:1","Points:2","Pressure","Velocity:0","Velocity:1"
1.14541826e+01, 5.00000000e-01, 0.00000000e+00, 8.29112977e-02, 7.73490127e-03, 5.22430710e-05
1.14036455e+01, 4.64378685e-01, 0.00000000e+00, 9.04834419e-02, 1.18510103e+00, -9.07636480e-04
1.14039230e+01, 4.77945060e-01, 0.00000000e+00, 9.05160159e-02, 7.59961963e-01, -5.17873676e-04
1.14041653e+01, 4.89741892e-01, 0.00000000e+00, 9.04985741e-02, 3.67018700e-01, -2.21887691e-04
1.14043751e+01, 5.00000000e-01, 0.00000000e+00, 9.04730037e-02, 8.01796280e-03, 1.46180391e-05
1.13537769e+01, 4.64470088e-01, 0.00000000e+00, 9.83543992e-02, 1.18326402e+00, -3.25045316e-04
1.13540773e+01, 4.78001624e-01, 0.00000000e+00, 9.84161794e-02, 7.58950412e-01, -1.79760245e-04
1.13543396e+01, 4.89768207e-01, 0.00000000e+00, 9.83995348e-02, 3.66830766e-01, -9.39216116e-05
1.13545675e+01, 5.00000000e-01, 0.00000000e+00, 9.83711854e-02, 8.25209077e-03, -8.79477557e-06
1.13039074e+01, 4.64561462e-01, 0.00000000e+00, 1.06451564e-01, 1.18040490e+00, 2.41500165e-04
1.13042316e+01, 4.78058219e-01, 0.00000000e+00, 1.06470495e-01, 7.56953835e-01, 1.37846044e-04
1.13045139e+01, 4.89794523e-01, 0.00000000e+00, 1.06444925e-01, 3.65861773e-01, 3.11478943e-05
1.13047590e+01, 5.00000000e-01, 0.00000000e+00, 1.06412917e-01, 8.28912668e-03, -2.72182333e-05
1.12540388e+01, 4.64652836e-01, 0.00000000e+00, 1.14514336e-01, 1.17708802e+00, 4.64255543e-04
1.12543859e+01, 4.78114784e-01, 0.00000000e+00, 1.14462256e-01, 7.54462481e-01, 2.92091048e-04
1.12546883e+01, 4.89820838e-01, 0.00000000e+00, 1.14417091e-01, 3.64416897e-01, 1.17372103e-04
1.12549515e+01, 5.00000000e-01, 0.00000000e+00, 1.14377350e-01, 8.12488608e-03, -1.92575098e-05
1.12041702e+01, 4.64744210e-01, 0.00000000e+00, 1.22351810e-01, 1.17387176e+00, 3.59772064e-04
1.12045403e+01, 4.78171378e-01, 0.00000000e+00, 1.22244805e-01, 7.52012014e-01, 2.43447197e-04
1.12048635e+01, 4.89847153e-01, 0.00000000e+00, 1.22180402e-01, 3.62909377e-01, 1.23485632e-04
1.12051439e+01, 5.00000000e-01, 0.00000000e+00, 1.22132286e-01, 7.86836352e-03, 3.28311899e-06
1.11543007e+01, 4.64835584e-01, 0.00000000e+00, 1.29945084e-01, 1.17114449e+00, 2.33534138e-05
1.11546946e+01, 4.78227943e-01, 0.00000000e+00, 1.29810676e-01, 7.50009298e-01, 5.08617741e-05
1.11550379e+01, 4.89873469e-01, 0.00000000e+00, 1.29740000e-01, 3.61699283e-01, 4.88177029e-05
1.11553354e+01, 5.00000000e-01, 0.00000000e+00, 1.29689023e-01, 7.65273254e-03, 1.71183055e-05
1.11044321e+01, 4.64926988e-01, 0.00000000e+00, 1.37372643e-01, 1.16897917e+00, -3.21843720e-04
1.11048489e+01, 4.78284538e-01, 0.00000000e+00, 1.37283593e-01, 7.48555958e-01, -1.39121577e-04
1.11052122e+01, 4.89899784e-01, 0.00000000e+00, 1.37223780e-01, 3.60925198e-01, -3.55662851e-05
1.11055279e+01, 5.00000000e-01, 0.00000000e+00, 1.37175560e-01, 7.56645575e-03, 1.61226108e-05
1.10545635e+01, 4.65018362e-01, 0.00000000e+00, 1.44847214e-01, 1.16705918e+00, -3.46630142e-04
1.10550041e+01, 4.78341103e-01, 0.00000000e+00, 1.44794673e-01, 7.47344613e-01, -1.40430348e-04
1.10553865e+01, 4.89926100e-01, 0.00000000e+00, 1.44734353e-01, 3.60366166e-01, -2.53219496e-05
