"step","downstreamPressureDiff_DP102_969.99999999999989_0.28_0.1815"
0.0,-1.2691871
1000.0,-0.8039897
2000.0,-0.8107183
3000.0,-0.8472886
4000.0,-0.798794
5000.0,-0.8535484
6000.0,-0.8582603
7000.0,-0.87112117
8000.0,-0.8724669
9000.0,-0.8747041
10000.0,-0.88464093
11000.0,-0.89506304
12000.0,-0.8961894
13000.0,-0.89271224
14000.0,-0.89363277
15000.0,-0.8927436
16000.0,-0.88908756
17000.0,-0.91001296
18000.0,-0.8857938
19000.0,-0.9007466
20000.0,-0.9026264
21000.0,-0.9014073
22000.0,-0.90402347
23000.0,-0.8956346
24000.0,-0.9034858
25000.0,-0.8984122
26000.0,-0.89751637
27000.0,-0.8952123
28000.0,-0.9003050327301025
29000.0,-0.9070347547531128
30000.0,-0.8982831835746765
31000.0,-0.903160035610199
32000.0,-0.9064003229141235
33000.0,-0.9020050764083862
34000.0,-0.9105898141860962
35000.0,-0.8987367749214172
36000.0,-0.9081516861915588
37000.0,-0.905789852142334
38000.0,-0.9125152230262756
39000.0,-0.9017571210861206
40000.0,-0.9048099517822266
41000.0,-0.9031646251678467
42000.0,-0.8967375755310059
43000.0,-0.904037594795227
44000.0,-0.9043753147125244
45000.0,-0.9027081727981567
46000.0,-0.9035943746566772
47000.0,-0.9046401977539062
48000.0,-0.9045621156692505
49000.0,-0.9062668681144714
50000.0,-0.9068577289581299
51000.0,-0.9060888290405273
52000.0,-0.907893717288971
53000.0,-0.9051777720451355
54000.0,-0.9060450792312622
55000.0,-0.9033422470092773
56000.0,-0.9045299291610718
57000.0,-0.902383029460907
58000.0,-0.903382420539856
59000.0,-0.9076598882675171
60000.0,-0.9042354822158813
61000.0,-0.9034497141838074
62000.0,-0.9077188372612
63000.0,-0.9046517610549927
64000.0,-0.9037827253341675
65000.0,-0.9046710729598999
66000.0,-0.9086779356002808
67000.0,-0.9069011211395264
68000.0,-0.9047075510025024
69000.0,-0.9042312502861023
70000.0,-0.9060863256454468
71000.0,-0.9029706716537476
72000.0,-0.9066116809844971
73000.0,-0.902955949306488
74000.0,-0.9068459272384644
75000.0,-0.904656171798706
76000.0,-0.9070777893066406
77000.0,-0.9046571254730225
78000.0,-0.9038530588150024
79000.0,-0.9064474701881409
80000.0,-0.9035532474517822
81000.0,-0.9058229923248291
82000.0,-0.905023455619812
83000.0,-0.9059123992919922
84000.0,-0.9048566818237305
85000.0,-0.9041689038276672
86000.0,-0.9046937823295593
87000.0,-0.9046667814254761
88000.0,-0.9068769216537476
89000.0,-0.9061840772628784
90000.0,-0.9056573510169983
91000.0,-0.9037350416183472
92000.0,-0.9036353230476379
93000.0,-0.9037473201751709
94000.0,-0.9049649238586426
95000.0,-0.9053399562835693
96000.0,-0.9052164554595947
97000.0,-0.9036238789558411
98000.0,-0.9067768454551697
99000.0,-0.9039911031723022
100000.0,-0.9055358171463013
101000.0,-0.9020618200302124
102000.0,-0.9046071767807007
103000.0,-0.9046059846878052
104000.0,-0.9050990343093872
105000.0,-0.9033246636390686
106000.0,-0.9069383144378662
107000.0,-0.9026992917060852
108000.0,-0.9034110307693481
109000.0,-0.9040275812149048
110000.0,-0.905217170715332
111000.0,-0.9044370055198669
112000.0,-0.9035980105400085
113000.0,-0.9047404527664185
114000.0,-0.9038099646568298
115000.0,-0.9054934978485107
116000.0,-0.9056458473205566
117000.0,-0.9034537076950073
118000.0,-0.9031122922897339
119000.0,-0.9050673246383667
120000.0,-0.9043511748313904
121000.0,-0.9053678512573242
122000.0,-0.9033946990966797
123000.0,-0.904292106628418
124000.0,-0.9035803079605103
125000.0,-0.9031994938850403
126000.0,-0.9030083417892456
127000.0,-0.9041039943695068
128000.0,-0.9041438102722168
129000.0,-0.9046803712844849
130000.0,-0.904370903968811
131000.0,-0.9032698273658752
132000.0,-0.9041976928710938
133000.0,-0.9041131138801575
134000.0,-0.9039241075515747
135000.0,-0.9052282571792603
136000.0,-0.9046792387962341
137000.0,-0.904647171497345
138000.0,-0.9040799140930176
139000.0,-0.9030967950820923
140000.0,-0.9045343995094299
141000.0,-0.9031270146369934
142000.0,-0.9034014940261841
143000.0,-0.905811071395874
144000.0,-0.9037593603134155
145000.0,-0.9022116661071777
146000.0,-0.9034346342086792
147000.0,-0.9030264019966125
148000.0,-0.9040371179580688
149000.0,-0.904018759727478
150000.0,-0.9026805758476257
151000.0,-0.9027856588363647
152000.0,-0.902745246887207
153000.0,-0.9034998416900635
154000.0,-0.9020553827285767
155000.0,-0.9035806059837341
156000.0,-0.9033256769180298
157000.0,-0.9028118848800659
158000.0,-0.9037647843360901
159000.0,-0.902995765209198
160000.0,-0.9031351804733276
161000.0,-0.902768611907959
162000.0,-0.9025765657424927
163000.0,-0.9029771089553833
164000.0,-0.9025800228118896
165000.0,-0.9023046493530273
166000.0,-0.9034345149993896
167000.0,-0.9032382369041443
168000.0,-0.9029883146286011
169000.0,-0.9029955863952637
170000.0,-0.9024434685707092
171000.0,-0.9021241664886475
172000.0,-0.902624249458313
173000.0,-0.9027870297431946
174000.0,-0.9025881886482239
175000.0,-0.90226149559021
176000.0,-0.9022440910339355
177000.0,-0.9024662971496582
178000.0,-0.9025282859802246
179000.0,-0.9022329449653625
180000.0,-0.902521550655365
181000.0,-0.9020715951919556
182000.0,-0.9013633131980896
183000.0,-0.9024554491043091
184000.0,-0.9022825956344604
185000.0,-0.9025810956954956
186000.0,-0.9016327857971191
187000.0,-0.9027266502380371
188000.0,-0.9016485214233398
189000.0,-0.9019031524658203
190000.0,-0.9014859795570374
