"step","upstreamPressureDiff_DP112_909.99999999999989_0.76_0.2915"
0.0,-4.081314
1000.0,-1.7202826
2000.0,-1.7412202
3000.0,-1.7576876
4000.0,-1.8005524
5000.0,-1.7906213
6000.0,-1.789516
7000.0,-1.78989
8000.0,-1.7809486
9000.0,-1.7900064
10000.0,-1.789896
11000.0,-1.8012617
12000.0,-1.7792406
13000.0,-1.7982855
14000.0,-1.8000402
15000.0,-1.7888525
16000.0,-1.7882609
17000.0,-1.8297944
18000.0,-1.8011875
19000.0,-1.7998362
20000.0,-1.8019657
21000.0,-1.808742
22000.0,-1.8069067
23000.0,-1.8082767
24000.0,-1.8115177
25000.0,-1.8149004
26000.0,-1.8110168
27000.0,-1.8188322
28000.0,-1.815119743347168
29000.0,-1.8136544227600098
30000.0,-1.812523603439331
31000.0,-1.8162131309509277
32000.0,-1.8198840618133545
33000.0,-1.8242783546447754
34000.0,-1.8311622142791748
35000.0,-1.821667194366455
36000.0,-1.8244829177856445
37000.0,-1.8291630744934082
38000.0,-1.824819564819336
39000.0,-1.8289673328399658
40000.0,-1.8247661590576172
41000.0,-1.82403564453125
42000.0,-1.8239212036132812
43000.0,-1.8232979774475098
44000.0,-1.8288652896881104
45000.0,-1.8252308368682861
46000.0,-1.8241243362426758
47000.0,-1.827505350112915
48000.0,-1.8295564651489258
49000.0,-1.8288583755493164
50000.0,-1.8287858963012695
51000.0,-1.8289649486541748
52000.0,-1.828695297241211
53000.0,-1.8289012908935547
54000.0,-1.8283588886260986
55000.0,-1.8303029537200928
56000.0,-1.828948974609375
57000.0,-1.8297052383422852
58000.0,-1.8336172103881836
59000.0,-1.8317112922668457
60000.0,-1.8300509452819824
61000.0,-1.8323888778686523
62000.0,-1.8354158401489258
63000.0,-1.8305277824401855
64000.0,-1.831019401550293
65000.0,-1.8319907188415527
66000.0,-1.8333263397216797
67000.0,-1.8321456909179688
68000.0,-1.8318350315093994
69000.0,-1.8343241214752197
70000.0,-1.8327476978302002
71000.0,-1.832021951675415
72000.0,-1.8329226970672607
73000.0,-1.8302841186523438
74000.0,-1.830592393875122
75000.0,-1.8321621417999268
76000.0,-1.8319659233093262
77000.0,-1.833035945892334
78000.0,-1.830301284790039
79000.0,-1.8299376964569092
80000.0,-1.8361761569976807
81000.0,-1.832953929901123
82000.0,-1.8327527046203613
83000.0,-1.8344571590423584
84000.0,-1.8345770835876465
85000.0,-1.8309001922607422
86000.0,-1.8339920043945312
87000.0,-1.8329877853393555
88000.0,-1.8330142498016357
89000.0,-1.8354134559631348
90000.0,-1.8342838287353516
91000.0,-1.8324949741363525
92000.0,-1.833674430847168
93000.0,-1.8340511322021484
94000.0,-1.83449125289917
95000.0,-1.834029197692871
96000.0,-1.8352060317993164
97000.0,-1.8348183631896973
98000.0,-1.8330607414245605
99000.0,-1.8320508003234863
100000.0,-1.8354191780090332
101000.0,-1.8340849876403809
102000.0,-1.8344240188598633
103000.0,-1.8338978290557861
104000.0,-1.835430383682251
105000.0,-1.8337526321411133
106000.0,-1.8352370262145996
107000.0,-1.8354620933532715
108000.0,-1.8347458839416504
109000.0,-1.8349742889404297
110000.0,-1.8356366157531738
111000.0,-1.8351168632507324
112000.0,-1.8343982696533203
113000.0,-1.8357775211334229
114000.0,-1.8340098857879639
115000.0,-1.8372206687927246
116000.0,-1.835472583770752
117000.0,-1.83504056930542
118000.0,-1.8338665962219238
119000.0,-1.8354434967041016
120000.0,-1.8357455730438232
121000.0,-1.8369560241699219
122000.0,-1.8333964347839355
123000.0,-1.8350305557250977
124000.0,-1.8343899250030518
125000.0,-1.835078239440918
126000.0,-1.8345041275024414
127000.0,-1.83546781539917
128000.0,-1.8366115093231201
129000.0,-1.8350200653076172
130000.0,-1.8335270881652832
131000.0,-1.8350744247436523
132000.0,-1.8346786499023438
133000.0,-1.835421085357666
134000.0,-1.8360891342163086
135000.0,-1.8353886604309082
136000.0,-1.8364343643188477
137000.0,-1.835310935974121
