"step","downsteramPressure_Re1213"
0.0,1.3147353
1000.0,-0.033510473
2000.0,0.002874926
3000.0,0.01320302
6000.0,0.4351951479911804
8000.0,0.8660242557525635
10000.0,1.126054048538208
12000.0,1.045180082321167
14000.0,0.9066175222396851
16000.0,0.8260215520858765
18000.0,0.7756656408309937
20000.0,0.7687963247299194
22000.0,0.7763060331344604
24000.0,0.7598997354507446
26000.0,0.7628633975982666
28000.0,0.7718625068664551
30000.0,0.7637708187103271
32000.0,0.7957489490509033
34000.0,0.767987072467804
36000.0,0.7607036828994751
38000.0,0.8303855657577515
40000.0,0.7418406009674072
42000.0,0.7450343370437622
44000.0,0.7615362405776978
46000.0,0.7450443506240845
48000.0,0.7463350892066956
50000.0,0.7386071681976318
52000.0,0.7287110090255737
54000.0,0.7289533615112305
56000.0,0.7230825424194336
58000.0,0.7401907444000244
60000.0,0.732008695602417
62000.0,0.7170029878616333
64000.0,0.7386409044265747
66000.0,0.718299388885498
68000.0,0.7253906726837158
70000.0,0.7465965747833252
72000.0,0.7157639265060425
74000.0,0.7183187007904053
76000.0,0.7192640900611877
78000.0,0.7009487748146057
80000.0,0.7162982225418091
82000.0,0.7334563732147217
84000.0,0.7436838150024414
86000.0,0.6974631547927856
88000.0,0.709608793258667
90000.0,0.7052574157714844
92000.0,0.7099021673202515
94000.0,0.7088239192962646
96000.0,0.7155967950820923
98000.0,0.7148397564888
100000.0,0.7118229269981384
102000.0,0.7400940656661987
104000.0,0.7000571489334106
106000.0,0.712688684463501
108000.0,0.6976073980331421
110000.0,0.7040637731552124
112000.0,0.7100067734718323
114000.0,0.7185280323028564
116000.0,0.7042304277420044
118000.0,0.7163509130477905
120000.0,0.7234961986541748
122000.0,0.7055472731590271
124000.0,0.6990090012550354
126000.0,0.7191807627677917
128000.0,0.6962851285934448
130000.0,0.7194286584854126
132000.0,0.7052278518676758
134000.0,0.7056095600128174
136000.0,0.6963731050491333
138000.0,0.7142492532730103
140000.0,0.698444128036499
142000.0,0.7333984971046448
144000.0,0.7603838443756104
146000.0,0.6967658400535583
148000.0,0.6916588544845581
150000.0,0.6906001567840576
152000.0,0.6880306601524353
154000.0,0.6967067718505859
156000.0,0.699432373046875
158000.0,0.702894926071167
160000.0,0.6957400441169739
162000.0,0.6926378011703491
166000.0,0.7205601930618286
168000.0,0.6934970617294312
170000.0,0.6907622814178467
172000.0,0.6926389932632446
174000.0,0.6950129270553589
176000.0,0.6907612085342407
178000.0,0.6906754970550537
180000.0,0.691009521484375
182000.0,0.6908009052276611
184000.0,0.6887856125831604
186000.0,0.6907899379730225
188000.0,0.6931121349334717
190000.0,0.6890490651130676
192000.0,0.6939033269882202
194000.0,0.6959468126296997
196000.0,0.6887174844741821
198000.0,0.6831291913986206
200000.0,0.6896399259567261
202000.0,0.6902437210083008
204000.0,0.6828070282936096
206000.0,0.6787905097007751
208000.0,0.6969722509384155
210000.0,0.6822167634963989
212000.0,0.6757123470306396
214000.0,0.6851317286491394
216000.0,0.6770551204681396
218000.0,0.6769062280654907
220000.0,0.6780356168746948
222000.0,0.6775189638137817
224000.0,0.6734393835067749
226000.0,0.6697062849998474
228000.0,0.6740624904632568
230000.0,0.6748822927474976
232000.0,0.6695094108581543
234000.0,0.6685062646865845
236000.0,0.6610646843910217
238000.0,0.6657187938690186
240000.0,0.6632314920425415
242000.0,0.6620996594429016
244000.0,0.6573446393013
246000.0,0.6572630405426025
248000.0,0.65770024061203
250000.0,0.6616860032081604
252000.0,0.655454158782959
254000.0,0.6582376956939697
256000.0,0.652604341506958
258000.0,0.6487587094306946
260000.0,0.6508089303970337
262000.0,0.6487935781478882
264000.0,0.6459486484527588
266000.0,0.6416490077972412
268000.0,0.6435555219650269
270000.0,0.6430948376655579
272000.0,0.6389716863632202
274000.0,0.6373029947280884
276000.0,0.6397039890289307
278000.0,0.6367523670196533
280000.0,0.6343628168106079
282000.0,0.6337289810180664
284000.0,0.6325317621231079
286000.0,0.6301702260971069
288000.0,0.6292645931243896
290000.0,0.6272974014282227
292000.0,0.6253026127815247
294000.0,0.6249076724052429
296000.0,0.625072717666626
298000.0,0.6234983205795288
300000.0,0.6200971007347107
302000.0,0.6180233955383301
304000.0,0.6159727573394775
306000.0,0.6174138784408569
308000.0,0.6149389743804932
310000.0,0.6127252578735352
312000.0,0.6101475358009338
314000.0,0.6113654375076294
316000.0,0.6091325283050537
318000.0,0.6086075305938721
320000.0,0.6075928211212158
322000.0,0.6041057109832764
324000.0,0.6026243567466736
326000.0,0.6013714075088501
328000.0,0.6008675694465637
330000.0,0.5983609557151794
332000.0,0.59779953956604
334000.0,0.5970778465270996
336000.0,0.595011830329895
338000.0,0.594336748123169
340000.0,0.592818021774292
342000.0,0.5922183990478516
344000.0,0.5901225805282593
346000.0,0.5896596312522888
348000.0,0.5882055759429932
350000.0,0.5881887674331665
352000.0,0.5858006477355957
354000.0,0.5844686031341553
356000.0,0.5840089321136475
358000.0,0.584441065788269
360000.0,0.5817137956619263
362000.0,0.5809900760650635
364000.0,0.5792112350463867
366000.0,0.5775070786476135
368000.0,0.5768334269523621
370000.0,0.5768345594406128
372000.0,0.574827253818512
374000.0,0.5739090442657471
376000.0,0.5728746652603149
378000.0,0.5731573700904846
380000.0,0.5715386867523193
382000.0,0.5699683427810669
384000.0,0.5690258741378784
386000.0,0.568829357624054
388000.0,0.5677343606948853
390000.0,0.5664862990379333
392000.0,0.5660829544067383
394000.0,0.5646425485610962
396000.0,0.5648588538169861
398000.0,0.5631092190742493
400000.0,0.562163233757019
402000.0,0.5620102882385254
404000.0,0.56170254945755
406000.0,0.5601181983947754
408000.0,0.5593687891960144
410000.0,0.5587419271469116
412000.0,0.5577312707901001
414000.0,0.5559484362602234
416000.0,0.5559234619140625
418000.0,0.5556902289390564
420000.0,0.5549349784851074
422000.0,0.5539330244064331
424000.0,0.5535093545913696
426000.0,0.5522679090499878
428000.0,0.552479088306427
430000.0,0.5519436597824097
432000.0,0.5507458448410034
434000.0,0.5505186915397644
436000.0,0.5500819683074951
438000.0,0.5493627786636353
440000.0,0.5488036870956421
442000.0,0.5477608442306519
444000.0,0.5470802783966064
446000.0,0.5470889806747437
448000.0,0.5466444492340088
450000.0,0.5457172393798828
452000.0,0.5458378791809082
454000.0,0.5450575351715088
456000.0,0.544446587562561
458000.0,0.5441142320632935
