"step","upstreamPressureTot_DP2_1175.8999999999999_0.28_0.047500000000000007"
34000.0,3.998879
36000.0,3.9973438
38000.0,4.0042715
40000.0,3.9897084
42000.0,4.0070286
44000.0,4.011403
46000.0,4.0149755
48000.0,4.0156283
50000.0,4.017256
52000.0,4.01337
54000.0,4.0172787
56000.0,4.02738
58000.0,4.021043
60000.0,4.0263124
62000.0,4.0164022
64000.0,4.0243855
66000.0,4.0193405
68000.0,4.0218472
70000.0,4.025667
72000.0,4.017851
74000.0,4.0283284
76000.0,4.017536
78000.0,4.02121
80000.0,4.018656
82000.0,4.0045695
84000.0,4.016053
86000.0,4.011692
88000.0,4.016414
90000.0,4.0099487
92000.0,4.0176315
94000.0,4.008088
98000.0,4.002980709075928
