"step","upstreamPressureTot_DP13_804.9_0.91999999999999993_0.3885"
34000.0,4.011084
36000.0,4.01709
38000.0,4.023483
40000.0,4.012499
42000.0,4.030858
44000.0,4.0371304
46000.0,4.0418735
48000.0,4.0434604
50000.0,4.0489154
52000.0,4.0478086
54000.0,4.057263
56000.0,4.067743
58000.0,4.0699883
60000.0,4.076183
62000.0,4.0626955
64000.0,4.0835094
66000.0,4.076482
68000.0,4.083366
70000.0,4.086774
72000.0,4.0874815
74000.0,4.0975122
76000.0,4.0877423
78000.0,4.099223
80000.0,4.0963573
82000.0,4.086296
84000.0,4.102122
86000.0,4.098834
88000.0,4.1077576
90000.0,4.1067595
92000.0,4.12161
94000.0,4.1131086
98000.0,4.103878021240234
