"step","downstreamPressureTot_DP10_953.3_0.60000000000000009_0.2955"
34000.0,3.6360497
36000.0,3.6308253
38000.0,3.6383128
40000.0,3.633677
42000.0,3.6499238
44000.0,3.6453989
46000.0,3.6529584
48000.0,3.6597826
50000.0,3.6598625
52000.0,3.650574
54000.0,3.6558442
56000.0,3.6702542
58000.0,3.664725
60000.0,3.6700578
62000.0,3.6605492
64000.0,3.66626
66000.0,3.667077
68000.0,3.6749754
70000.0,3.6726627
72000.0,3.6712196
74000.0,3.6770022
76000.0,3.666795
78000.0,3.6798286
80000.0,3.6709623
82000.0,3.661242
84000.0,3.676318
86000.0,3.6659193
88000.0,3.6689363
90000.0,3.6689463
92000.0,3.6774144
94000.0,3.670658
98000.0,3.6626319885253906
