"step","upstreamPressureTot_DP4_211.3_0.33333333333333337_0.10950000000000001"
34000.0,5.201663
36000.0,5.2269855
38000.0,5.2449846
40000.0,5.2198534
42000.0,5.2723875
44000.0,5.2876644
46000.0,5.31249
48000.0,5.3072166
50000.0,5.320237
52000.0,5.3316936
54000.0,5.3562326
56000.0,5.380247
58000.0,5.3848968
60000.0,5.4069963
62000.0,5.39909
64000.0,5.4251857
66000.0,5.4111586
68000.0,5.445789
70000.0,5.451035
72000.0,5.4576035
74000.0,5.471658
76000.0,5.4754934
78000.0,5.485146
80000.0,5.4916983
82000.0,5.484866
84000.0,5.509057
86000.0,5.508525
88000.0,5.5246773
90000.0,5.5264874
92000.0,5.559052
94000.0,5.5457993
98000.0,5.552750587463379
