"step","upstreamPressureTot_DP1_1027.5_0.97333333333333338_0.0165"
34000.0,4.0603914
36000.0,4.0608034
38000.0,4.065466
40000.0,4.0520535
42000.0,4.0705767
44000.0,4.0740213
46000.0,4.0779996
48000.0,4.0764728
50000.0,4.079014
52000.0,4.07732
54000.0,4.0817327
56000.0,4.0911593
58000.0,4.0851784
60000.0,4.0900297
62000.0,4.079368
64000.0,4.088994
66000.0,4.084181
68000.0,4.0858903
70000.0,4.088971
72000.0,4.082875
74000.0,4.093572
76000.0,4.081812
78000.0,4.0875306
80000.0,4.0837765
82000.0,4.069935
84000.0,4.082291
86000.0,4.078909
88000.0,4.0819197
90000.0,4.07696
92000.0,4.084976
94000.0,4.076323
98000.0,4.06855583190918
