"step","downstreamPressureTot_DP6_582.3_0.49333333333333335_0.17149999999999999"
34000.0,3.7088766
36000.0,3.7096982
38000.0,3.7127664
40000.0,3.7090027
42000.0,3.7271156
44000.0,3.7272172
46000.0,3.7309601
48000.0,3.733777
50000.0,3.73739
52000.0,3.7325
54000.0,3.7375407
56000.0,3.7501845
58000.0,3.753723
60000.0,3.7574677
62000.0,3.74934
64000.0,3.7548091
66000.0,3.7570224
68000.0,3.7626238
70000.0,3.7594504
72000.0,3.764072
74000.0,3.7704992
76000.0,3.7607002
78000.0,3.7733788
80000.0,3.767423
82000.0,3.761474
84000.0,3.7707748
86000.0,3.7650232
88000.0,3.769044
90000.0,3.7676568
92000.0,3.7758963
94000.0,3.7704573
98000.0,3.7680487632751465
