"step","downstreamPressureTot_DP15_359.7_0.70666666666666678_0.45049999999999996"
34000.0,3.7462668
36000.0,3.75489
38000.0,3.7627242
40000.0,3.7574973
42000.0,3.7807276
44000.0,3.787105
46000.0,3.7979374
48000.0,3.8045123
50000.0,3.8037202
52000.0,3.8030279
54000.0,3.8167374
56000.0,3.8270378
58000.0,3.8398144
60000.0,3.845468
62000.0,3.8362117
64000.0,3.856912
66000.0,3.8542016
68000.0,3.8834324
70000.0,3.8730397
72000.0,3.8805733
74000.0,3.8848422
76000.0,3.8847795
78000.0,3.903255
80000.0,3.9044971
82000.0,3.888424
84000.0,3.9136682
86000.0,3.9114516
88000.0,3.9157054
90000.0,3.9243805
92000.0,3.933772
94000.0,3.9292855
98000.0,3.9210071563720703
