"step","upstreamPressureTot_DP10_953.3_0.60000000000000009_0.2955"
34000.0,3.9773757
36000.0,3.9798932
38000.0,3.9863305
40000.0,3.9738402
42000.0,3.9915695
44000.0,3.9963403
46000.0,4.002064
48000.0,4.0037093
50000.0,4.007138
52000.0,4.0064425
54000.0,4.0104666
56000.0,4.0220876
58000.0,4.017678
60000.0,4.023959
62000.0,4.013198
64000.0,4.027215
66000.0,4.021071
68000.0,4.0249953
70000.0,4.0293045
72000.0,4.0243134
74000.0,4.0356884
76000.0,4.024568
78000.0,4.032307
80000.0,4.0279207
82000.0,4.016323
84000.0,4.030141
86000.0,4.0270114
88000.0,4.0315695
90000.0,4.028445
92000.0,4.04116
94000.0,4.0310273
98000.0,4.021103382110596
