"step","downstreamPressureTot_DP2_1175.8999999999999_0.28_0.047500000000000007"
34000.0,3.5417213
36000.0,3.5336456
38000.0,3.5405102
40000.0,3.5367546
42000.0,3.550841
44000.0,3.5460727
46000.0,3.544968
48000.0,3.5565119
50000.0,3.561987
52000.0,3.5464928
54000.0,3.5502148
56000.0,3.5680263
58000.0,3.5588832
60000.0,3.5670996
62000.0,3.5581543
64000.0,3.5582235
66000.0,3.5589614
68000.0,3.5605922
70000.0,3.5593867
72000.0,3.5622816
74000.0,3.5694876
76000.0,3.558824
78000.0,3.564436
80000.0,3.5572157
82000.0,3.550572
84000.0,3.5589776
86000.0,3.5457911
88000.0,3.553844
90000.0,3.5501356
92000.0,3.5534754
94000.0,3.5472007
98000.0,3.546505928039551
