"step","upstreamPressureTot_DP9_730.69999999999993_0.81333333333333324_0.2645"
34000.0,3.9752598
36000.0,3.9801915
38000.0,3.9862413
40000.0,3.9738214
42000.0,3.9926705
44000.0,3.998781
46000.0,4.0050898
48000.0,4.005127
50000.0,4.0083795
52000.0,4.0091352
54000.0,4.0138884
56000.0,4.025255
58000.0,4.022189
60000.0,4.0299916
62000.0,4.020134
64000.0,4.0334787
66000.0,4.0274916
68000.0,4.031844
70000.0,4.0367913
72000.0,4.0326138
74000.0,4.045061
76000.0,4.0349655
78000.0,4.0422907
80000.0,4.0386577
82000.0,4.0259275
84000.0,4.039553
86000.0,4.038931
88000.0,4.04445
90000.0,4.0406065
92000.0,4.052326
94000.0,4.0425673
98000.0,4.030154228210449
