"step","downstreamPressureTot_DP13_804.9_0.91999999999999993_0.3885"
34000.0,3.5687408
36000.0,3.5661654
38000.0,3.5738597
40000.0,3.5690284
42000.0,3.58454
44000.0,3.5820546
46000.0,3.5881674
48000.0,3.5926147
50000.0,3.5934613
52000.0,3.5848823
54000.0,3.5972877
56000.0,3.6061795
58000.0,3.6078677
60000.0,3.6109266
62000.0,3.5954418
64000.0,3.6104503
66000.0,3.610538
68000.0,3.627021
70000.0,3.6196017
72000.0,3.6219854
74000.0,3.6227682
76000.0,3.6146922
78000.0,3.6328902
80000.0,3.6259594
82000.0,3.6134663
84000.0,3.6300886
86000.0,3.6198604
88000.0,3.6256256
90000.0,3.6301224
92000.0,3.6366644
94000.0,3.628533
98000.0,3.619077444076538
