"step","upstreamPressureTot_DP3_137.1_0.65333333333333332_0.078500000000000014"
34000.0,5.991151
36000.0,6.0307946
38000.0,6.05379
40000.0,6.027868
42000.0,6.0901604
44000.0,6.1098294
46000.0,6.1424556
48000.0,6.1400886
50000.0,6.159526
52000.0,6.1790233
54000.0,6.212981
56000.0,6.2479305
58000.0,6.2593565
60000.0,6.293224
62000.0,6.289082
64000.0,6.321832
66000.0,6.3122478
68000.0,6.360036
70000.0,6.3647017
72000.0,6.382228
74000.0,6.400346
76000.0,6.413233
78000.0,6.4264336
80000.0,6.438594
82000.0,6.436345
84000.0,6.4647818
86000.0,6.4698157
88000.0,6.495322
90000.0,6.5046473
92000.0,6.5496607
94000.0,6.5381956
98000.0,6.550569534301758
