"step","upstreamPressureTot_DP12_1101.6999999999998_0.76_0.3575"
34000.0,3.9582233
36000.0,3.9608073
38000.0,3.9658375
40000.0,3.953824
42000.0,3.9720216
44000.0,3.978361
46000.0,3.9823694
48000.0,3.9842162
50000.0,3.9899695
52000.0,3.985725
54000.0,3.9936185
56000.0,4.0039363
58000.0,4.002018
60000.0,4.0082674
62000.0,3.9952505
64000.0,4.0126534
66000.0,4.005915
68000.0,4.0104866
70000.0,4.013318
72000.0,4.0121646
74000.0,4.0230484
76000.0,4.0110526
78000.0,4.0202837
80000.0,4.0176077
82000.0,4.0062203
84000.0,4.0201473
86000.0,4.019007
88000.0,4.02289
90000.0,4.0223565
92000.0,4.0320225
94000.0,4.0220175
98000.0,4.0095062255859375
