"step","downstreamPressureTot_DP14_879.09999999999991_0.22666666666666668_0.4195"
34000.0,3.5430684
36000.0,3.5372255
38000.0,3.5469909
40000.0,3.5423517
42000.0,3.5581112
44000.0,3.5569355
46000.0,3.5615258
48000.0,3.5695992
50000.0,3.5719287
52000.0,3.5599332
54000.0,3.5684485
56000.0,3.5813022
58000.0,3.5804353
60000.0,3.583993
62000.0,3.5719287
64000.0,3.5834975
66000.0,3.5839121
68000.0,3.596
70000.0,3.5910525
72000.0,3.5925004
74000.0,3.5941782
76000.0,3.586874
78000.0,3.6031957
80000.0,3.5935173
82000.0,3.5827174
84000.0,3.5992587
86000.0,3.5841699
88000.0,3.5909057
90000.0,3.5945692
92000.0,3.600528
94000.0,3.590366
98000.0,3.581571102142334
