"step","upstreamPressureTot_DP5_285.5_0.8666666666666667_0.1405"
34000.0,4.75231
36000.0,4.7713623
38000.0,4.7850013
40000.0,4.765357
42000.0,4.79883
44000.0,4.8130927
46000.0,4.8299413
48000.0,4.8265944
50000.0,4.834845
52000.0,4.8436384
54000.0,4.856913
56000.0,4.8728848
58000.0,4.8780403
60000.0,4.893276
62000.0,4.8799667
64000.0,4.9041324
66000.0,4.894002
68000.0,4.913611
70000.0,4.914804
72000.0,4.9191093
74000.0,4.9324346
76000.0,4.9265456
78000.0,4.940316
80000.0,4.94133
82000.0,4.9303675
84000.0,4.9514236
86000.0,4.9509363
88000.0,4.9616294
90000.0,4.9601393
92000.0,4.9858413
94000.0,4.976266
98000.0,4.9785261154174805
