"step","downstreamPressureTot_DP8_433.9_0.38666666666666671_0.2335"
34000.0,3.8377361
36000.0,3.8424046
38000.0,3.8488917
40000.0,3.846956
42000.0,3.866539
44000.0,3.8659751
46000.0,3.8769047
48000.0,3.8776875
50000.0,3.8824391
52000.0,3.8811495
54000.0,3.887227
56000.0,3.8994908
58000.0,3.9063668
60000.0,3.913835
62000.0,3.9062514
64000.0,3.9141839
66000.0,3.9131489
68000.0,3.9259062
70000.0,3.9241552
72000.0,3.9291253
74000.0,3.9358816
76000.0,3.9286594
78000.0,3.9436123
80000.0,3.9381943
82000.0,3.9328365
84000.0,3.942267
86000.0,3.9418426
88000.0,3.949128
90000.0,3.945854
92000.0,3.9605424
94000.0,3.9552016
98000.0,3.950277805328369
