"step","upstreamPressureTot_DP15_359.7_0.70666666666666678_0.45049999999999996"
34000.0,4.492736
36000.0,4.5144496
38000.0,4.5252914
40000.0,4.51464
42000.0,4.547946
44000.0,4.5602884
46000.0,4.5733995
48000.0,4.577854
50000.0,4.5856915
52000.0,4.5924835
54000.0,4.610217
56000.0,4.6255465
58000.0,4.639023
60000.0,4.6516604
62000.0,4.640917
64000.0,4.6713266
66000.0,4.6639442
68000.0,4.6757307
70000.0,4.688059
72000.0,4.6964474
74000.0,4.711898
76000.0,4.7064295
78000.0,4.7236376
80000.0,4.7237873
82000.0,4.717122
84000.0,4.7364936
86000.0,4.7413836
88000.0,4.756165
90000.0,4.759966
92000.0,4.786768
94000.0,4.779899
98000.0,4.774121284484863
