"step","downstreamPressureTot_DP12_1101.6999999999998_0.76_0.3575"
34000.0,3.646431
36000.0,3.6416724
38000.0,3.648034
40000.0,3.6429029
42000.0,3.660912
44000.0,3.6587288
46000.0,3.6605456
48000.0,3.6692553
50000.0,3.6713834
52000.0,3.656273
54000.0,3.6691778
56000.0,3.6810746
58000.0,3.675472
60000.0,3.6827219
62000.0,3.669478
64000.0,3.6782467
66000.0,3.6813354
68000.0,3.6908846
70000.0,3.6848092
72000.0,3.68713
74000.0,3.6925588
76000.0,3.6794791
78000.0,3.6931229
80000.0,3.6896172
82000.0,3.6777544
84000.0,3.6928005
86000.0,3.6866102
88000.0,3.6851227
90000.0,3.689697
92000.0,3.6935601
94000.0,3.6842961
98000.0,3.6726956367492676
