"step","downstreamPressureTot_DP5_285.5_0.8666666666666667_0.1405"
34000.0,4.042489
36000.0,4.0542035
38000.0,4.0655284
40000.0,4.063968
42000.0,4.083906
44000.0,4.091689
46000.0,4.107326
48000.0,4.1044316
50000.0,4.1103497
52000.0,4.1180468
54000.0,4.126884
56000.0,4.1404076
58000.0,4.1552052
60000.0,4.162971
62000.0,4.1532784
64000.0,4.170616
66000.0,4.1687546
68000.0,4.1864424
70000.0,4.1821003
72000.0,4.192418
74000.0,4.197874
76000.0,4.194354
78000.0,4.2151704
80000.0,4.207776
82000.0,4.204059
84000.0,4.2257223
86000.0,4.2202234
88000.0,4.230735
90000.0,4.228528
92000.0,4.2455316
94000.0,4.242634
98000.0,4.247493743896484
