"step","downstreamPressureTot_DP4_211.3_0.33333333333333337_0.10950000000000001"
34000.0,4.214105
36000.0,4.2313967
38000.0,4.2472916
40000.0,4.2415614
42000.0,4.2744813
44000.0,4.2810287
46000.0,4.303975
48000.0,4.300768
50000.0,4.3087554
52000.0,4.3166256
54000.0,4.337186
56000.0,4.35564
58000.0,4.36983
60000.0,4.3834496
62000.0,4.382454
64000.0,4.3964815
66000.0,4.393899
68000.0,4.4196334
70000.0,4.4211555
72000.0,4.4334807
74000.0,4.442211
76000.0,4.448536
78000.0,4.462092
80000.0,4.461691
82000.0,4.461773
84000.0,4.4868536
86000.0,4.4815063
88000.0,4.4980545
90000.0,4.494104
92000.0,4.5151258
94000.0,4.510835
98000.0,4.520453929901123
