"step","upstreamPressureTot_DP11_508.09999999999997_0.44_0.3265"
34000.0,4.2360315
36000.0,4.2445593
38000.0,4.2522554
40000.0,4.2375383
42000.0,4.2625265
44000.0,4.268059
46000.0,4.2764044
48000.0,4.2771673
50000.0,4.281932
52000.0,4.2835865
54000.0,4.292171
56000.0,4.304639
58000.0,4.3062167
60000.0,4.314893
62000.0,4.303775
64000.0,4.3230743
66000.0,4.315997
68000.0,4.323396
70000.0,4.3316298
72000.0,4.3333197
74000.0,4.344529
76000.0,4.3355265
78000.0,4.347
80000.0,4.3454494
82000.0,4.3376017
84000.0,4.351554
86000.0,4.3515897
88000.0,4.361017
90000.0,4.359588
92000.0,4.379148
94000.0,4.3682857
98000.0,4.357809066772461
