"step","upstreamPressureTot_DP7_656.5_0.54666666666666663_0.20249999999999999"
34000.0,4.1270223
36000.0,4.1319246
38000.0,4.137331
40000.0,4.122854
42000.0,4.1438417
44000.0,4.149925
46000.0,4.1559167
48000.0,4.1543846
50000.0,4.1566906
52000.0,4.158429
54000.0,4.163162
56000.0,4.1747746
58000.0,4.1713915
60000.0,4.1775665
62000.0,4.1686373
64000.0,4.1801624
66000.0,4.1748543
68000.0,4.179676
70000.0,4.182893
72000.0,4.177326
74000.0,4.191002
76000.0,4.180187
78000.0,4.1871634
80000.0,4.184108
82000.0,4.1700277
84000.0,4.1836605
86000.0,4.183266
88000.0,4.1864786
90000.0,4.1837893
92000.0,4.1950765
94000.0,4.1848936
98000.0,4.1772966384887695
