"step","downstreamPressureTot_DP3_137.1_0.65333333333333332_0.078500000000000014"
34000.0,4.6529946
36000.0,4.683962
38000.0,4.701042
40000.0,4.6970987
42000.0,4.7391143
44000.0,4.747955
46000.0,4.7824154
48000.0,4.7782593
50000.0,4.7921367
52000.0,4.805103
54000.0,4.832938
56000.0,4.8620696
58000.0,4.882169
60000.0,4.9041905
62000.0,4.911784
64000.0,4.9297814
66000.0,4.9297543
68000.0,4.968866
70000.0,4.9715033
72000.0,4.992186
74000.0,5.004091
76000.0,5.02264
78000.0,5.0334425
80000.0,5.0430803
82000.0,5.044857
84000.0,5.0811257
86000.0,5.0810695
88000.0,5.1047115
90000.0,5.109166
92000.0,5.1347957
94000.0,5.1341166
98000.0,5.15167760848999
