"step","downstreamPressureTot_DP1_1027.5_0.97333333333333338_0.0165"
34000.0,3.7630668
36000.0,3.7582216
38000.0,3.76255
40000.0,3.7569761
42000.0,3.7762523
44000.0,3.7697773
46000.0,3.7706132
48000.0,3.776608
50000.0,3.7833176
52000.0,3.7728522
54000.0,3.7769861
56000.0,3.7911654
58000.0,3.785447
60000.0,3.791534
62000.0,3.7807546
64000.0,3.784254
66000.0,3.7860107
68000.0,3.7889676
70000.0,3.7862787
72000.0,3.7898772
74000.0,3.7977648
76000.0,3.7853558
78000.0,3.7937446
80000.0,3.786789
82000.0,3.7785027
84000.0,3.7902644
86000.0,3.7801275
88000.0,3.7844238
90000.0,3.7818158
92000.0,3.7873144
94000.0,3.7821324
98000.0,3.7771759033203125
