"step","downstreamPressureTot_DP7_656.5_0.54666666666666663_0.20249999999999999"
34000.0,3.7139976
36000.0,3.713541
38000.0,3.7180316
40000.0,3.7142394
42000.0,3.7320526
44000.0,3.731049
46000.0,3.7363117
48000.0,3.738706
50000.0,3.741695
52000.0,3.7366486
54000.0,3.7408385
56000.0,3.7550635
58000.0,3.7553582
60000.0,3.7607555
62000.0,3.7531846
64000.0,3.7570875
66000.0,3.7593138
68000.0,3.7640975
70000.0,3.761732
72000.0,3.7623496
74000.0,3.7722056
76000.0,3.7620678
78000.0,3.7739418
80000.0,3.76713
82000.0,3.7571754
84000.0,3.7694154
86000.0,3.7639565
88000.0,3.766899
90000.0,3.7667384
92000.0,3.7734737
94000.0,3.7685287
98000.0,3.762820243835449
