"step","downstreamPressureTot_DP9_730.69999999999993_0.81333333333333324_0.2645"
34000.0,3.7340648
36000.0,3.734538
38000.0,3.7400856
40000.0,3.7342107
42000.0,3.75217
44000.0,3.7506852
46000.0,3.7570462
48000.0,3.7590208
50000.0,3.7633965
52000.0,3.7574377
54000.0,3.7625165
56000.0,3.7769423
58000.0,3.7749257
60000.0,3.7829986
62000.0,3.7739186
64000.0,3.778169
66000.0,3.7802196
68000.0,3.7880726
70000.0,3.7858229
72000.0,3.7866988
74000.0,3.7941778
76000.0,3.7846599
78000.0,3.7967296
80000.0,3.7885666
82000.0,3.7786417
84000.0,3.7910402
86000.0,3.7882445
88000.0,3.7908137
90000.0,3.7922623
92000.0,3.7981873
94000.0,3.7915883
98000.0,3.7807421684265137
