"step","upstreamPressureTot_DP8_433.9_0.38666666666666671_0.2335"
34000.0,4.3760943
36000.0,4.386803
38000.0,4.3943434
40000.0,4.379809
42000.0,4.407819
44000.0,4.412241
46000.0,4.4237695
48000.0,4.42066
50000.0,4.42567
52000.0,4.4283557
54000.0,4.4374156
56000.0,4.4508734
58000.0,4.4514284
60000.0,4.4616337
62000.0,4.4514112
64000.0,4.467579
66000.0,4.4599
68000.0,4.4714575
70000.0,4.4767056
72000.0,4.4757195
74000.0,4.4872475
76000.0,4.479258
78000.0,4.489174
80000.0,4.488534
82000.0,4.476208
84000.0,4.4911747
86000.0,4.491796
88000.0,4.499543
90000.0,4.4967446
92000.0,4.5168915
94000.0,4.5054483
98000.0,4.500168323516846
