"step","upstreamPressure_DP104_190_0.33333333333333337_0.20350000000000001"
0.0,0.11142662
1000.0,5.7137423
2000.0,5.744932
3000.0,5.7727923
4000.0,5.794999
5000.0,5.820681
6000.0,5.7995777
7000.0,5.821363
8000.0,5.838745
9000.0,5.8456626
10000.0,5.844964
11000.0,5.8459454
12000.0,5.849545
13000.0,5.83364
14000.0,5.851633
15000.0,5.840298
16000.0,5.8426113
17000.0,5.875466
18000.0,5.8515277
19000.0,5.8404903
20000.0,5.8614645
21000.0,5.8506026
22000.0,5.8340344
23000.0,5.8509707
24000.0,5.8485975
25000.0,5.846859
26000.0,5.8484983
27000.0,5.8388305
28000.0,5.8544297
29000.0,5.849514
30000.0,5.8504868
31000.0,5.838521
32000.0,5.84874
33000.0,5.8534117
34000.0,5.8457127
35000.0,5.8442063
36000.0,5.844252
37000.0,5.8442383
38000.0,5.834434
39000.0,5.8378687
40000.0,5.846832
41000.0,5.8537946
42000.0,5.8547626
43000.0,5.840198
44000.0,5.8426523
45000.0,5.8385715
46000.0,5.8447514
47000.0,5.8364124
48000.0,5.842965
49000.0,5.8433065
50000.0,5.841128
51000.0,5.842574
52000.0,5.8358393
53000.0,5.8440857
54000.0,5.8480954
55000.0,5.845737
56000.0,5.846026
57000.0,5.84214
58000.0,5.8420606
59000.0,5.840683
60000.0,5.8444524
61000.0,5.8416834
62000.0,5.8384867
63000.0,5.846357
64000.0,5.839239
65000.0,5.8493423
66000.0,5.843699
67000.0,5.849925
68000.0,5.838558
69000.0,5.848915
70000.0,5.8458834
71000.0,5.8418026
72000.0,5.8431425
73000.0,5.8469296
74000.0,5.845812
75000.0,5.840996
76000.0,5.8466825
77000.0,5.846204
78000.0,5.8424206
79000.0,5.8504896
80000.0,5.8428187
81000.0,5.8455925
82000.0,5.844463
83000.0,5.8479404
84000.0,5.846854
85000.0,5.8458004
86000.0,5.845402
87000.0,5.8436556
88000.0,5.8414392
89000.0,5.8438954
90000.0,5.8472834
91000.0,5.8477488
92000.0,5.850151
93000.0,5.847624
94000.0,5.8488936
95000.0,5.847288
96000.0,5.8454676
97000.0,5.8455915
98000.0,5.8451343
99000.0,5.852287
100000.0,5.8467426
101000.0,5.846901
102000.0,5.848174
103000.0,5.848716
104000.0,5.8478446
105000.0,5.845087
106000.0,5.8474045
107000.0,5.8463697
108000.0,5.850299
109000.0,5.850456
110000.0,5.8482304
111000.0,5.8553724
112000.0,5.8476696
113000.0,5.8463135
114000.0,5.8478384
115000.0,5.844919
116000.0,5.8492446
117000.0,5.8488865
118000.0,5.8488884
119000.0,5.8492165
120000.0,5.8494477
121000.0,5.8485165
122000.0,5.849657
123000.0,5.8494654
124000.0,5.853814
125000.0,5.8520765
126000.0,5.8495197
127000.0,5.8513184
128000.0,5.8487964
129000.0,5.846212
130000.0,5.8493104
131000.0,5.847901
132000.0,5.850421
133000.0,5.8472223
134000.0,5.8484282
135000.0,5.850007
136000.0,5.8496227
137000.0,5.8464518
138000.0,5.851527
139000.0,5.849557
140000.0,5.8478985
141000.0,5.8489256
142000.0,5.851322
143000.0,5.847531
144000.0,5.8511286
145000.0,5.849622
146000.0,5.849143
147000.0,5.848129
148000.0,5.85002
149000.0,5.8492084
150000.0,5.8500724
151000.0,5.8489923
152000.0,5.8478084
153000.0,5.848832
154000.0,5.850236
155000.0,5.849581
156000.0,5.8492527
157000.0,5.849407
158000.0,5.8479366
159000.0,5.8496404
160000.0,5.8507147
161000.0,5.84966
162000.0,5.8518133
163000.0,5.850115
164000.0,5.8504915
165000.0,5.8480654
166000.0,5.849355
167000.0,5.8504987
168000.0,5.8518786
169000.0,5.8475523
170000.0,5.8472605
171000.0,5.849347
172000.0,5.767012596130371
173000.0,5.728545188903809
174000.0,5.7027740478515625
175000.0,5.685622215270996
176000.0,5.653692722320557
177000.0,5.6643781661987305
178000.0,5.64952278137207
