"step","upstreamPressure_DP102_969.99999999999989_0.28_0.1815"
0.0,0.09306198
1000.0,2.3637667
2000.0,2.4042475
3000.0,2.4322484
4000.0,2.4421701
5000.0,2.4500933
6000.0,2.447192
7000.0,2.4582605
8000.0,2.4688563
9000.0,2.4719062
10000.0,2.475515
11000.0,2.470789
12000.0,2.4762247
13000.0,2.4682324
14000.0,2.4771147
15000.0,2.4700553
16000.0,2.4752388
17000.0,2.4868317
18000.0,2.4777675
19000.0,2.4720602
20000.0,2.4838328
21000.0,2.4816005
22000.0,2.4754584
23000.0,2.4783378
24000.0,2.47758
25000.0,2.4780245
26000.0,2.4787998
27000.0,2.474849
28000.0,2.479754
29000.0,2.4789224
30000.0,2.4793465
31000.0,2.47685
32000.0,2.4797783
33000.0,2.4821057
34000.0,2.4762154
35000.0,2.4754739
36000.0,2.4803753
37000.0,2.4769506
38000.0,2.4760714
39000.0,2.476767
40000.0,2.4769142
41000.0,2.4809713
42000.0,2.4841237
43000.0,2.4784775
44000.0,2.4790564
45000.0,2.4763613
46000.0,2.478568
47000.0,2.4765687
48000.0,2.477583
49000.0,2.4789524
50000.0,2.476223
51000.0,2.4781005
52000.0,2.4766536
53000.0,2.4790637
54000.0,2.480358
55000.0,2.478949
56000.0,2.4784055
57000.0,2.4794917
58000.0,2.4782612
59000.0,2.477511
60000.0,2.47891
61000.0,2.480422
62000.0,2.4780245
63000.0,2.4821465
64000.0,2.477753
65000.0,2.4817219
66000.0,2.4800797
67000.0,2.4816356
68000.0,2.4781208
69000.0,2.4823277
70000.0,2.479972
71000.0,2.4794989
72000.0,2.4791865
73000.0,2.4816146
74000.0,2.4805036
75000.0,2.4799342
76000.0,2.4812012
77000.0,2.481137
78000.0,2.4799323
79000.0,2.481544
80000.0,2.4796567
81000.0,2.4834456
82000.0,2.4805465
83000.0,2.4816818
84000.0,2.4830694
85000.0,2.4824774
86000.0,2.481464
87000.0,2.4809704
88000.0,2.4814973
89000.0,2.4815993
90000.0,2.4821396
91000.0,2.4820015
92000.0,2.4832082
93000.0,2.482171
94000.0,2.4821074
95000.0,2.4829643
96000.0,2.4809647
97000.0,2.4826012
98000.0,2.4822192
99000.0,2.4835896
100000.0,2.4818888
101000.0,2.4826107
102000.0,2.4833543
103000.0,2.482949
104000.0,2.482832
105000.0,2.4834137
106000.0,2.4828296
107000.0,2.4823272
108000.0,2.4841387
109000.0,2.4843292
110000.0,2.4831345
111000.0,2.4850209
112000.0,2.4834347
113000.0,2.4833472
114000.0,2.4841344
115000.0,2.483882
116000.0,2.4843955
117000.0,2.4840975
118000.0,2.483656
119000.0,2.483241
120000.0,2.4842777
121000.0,2.4846063
122000.0,2.484549
123000.0,2.4834886
124000.0,2.4855351
125000.0,2.4848576
126000.0,2.4843783
127000.0,2.4849868
128000.0,2.4850266
129000.0,2.4844022
130000.0,2.485201
131000.0,2.4847538
132000.0,2.4847236
133000.0,2.4847918
134000.0,2.4847288
135000.0,2.484772
136000.0,2.4846003
137000.0,2.4845352
138000.0,2.485732
139000.0,2.4850755
140000.0,2.484252
141000.0,2.4850068
142000.0,2.486511
143000.0,2.485249
144000.0,2.4864526
145000.0,2.4853876
146000.0,2.4859798
147000.0,2.4852347
148000.0,2.4858837
149000.0,2.4857032
150000.0,2.4869606
151000.0,2.486118
152000.0,2.4855204
153000.0,2.485878
154000.0,2.486197
155000.0,2.4858766
156000.0,2.485865
157000.0,2.4860342
158000.0,2.4856052
159000.0,2.4857554
160000.0,2.486267
161000.0,2.4874535
162000.0,2.4869227
163000.0,2.4869168
164000.0,2.4875216
165000.0,2.4865446
166000.0,2.486269
167000.0,2.4868937
168000.0,2.487379
169000.0,2.4866014
170000.0,2.4861054
171000.0,2.4867833
172000.0,2.4834327697753906
173000.0,2.4804978370666504
174000.0,2.4786787033081055
175000.0,2.480888843536377
176000.0,2.4794857501983643
177000.0,2.4859461784362793
178000.0,2.48486590385437
