"step","downstreamPressure_DP102_969.99999999999989_0.28_0.1815"
0.0,0.03153957
1000.0,0.6761475
2000.0,0.6679816
3000.0,0.66784954
4000.0,0.6569879
5000.0,0.6526778
6000.0,0.6488702
7000.0,0.65752965
8000.0,0.6578051
9000.0,0.6595495
10000.0,0.65807223
11000.0,0.6586068
12000.0,0.65250856
13000.0,0.6578146
14000.0,0.6593462
15000.0,0.6600336
16000.0,0.65860736
17000.0,0.6615516
18000.0,0.6573736
19000.0,0.65846705
20000.0,0.65852714
21000.0,0.65680015
22000.0,0.65992594
23000.0,0.6584834
24000.0,0.65362906
25000.0,0.65654814
26000.0,0.6531451
27000.0,0.6568837
28000.0,0.6576727
29000.0,0.6547197
30000.0,0.6537737
31000.0,0.65600556
32000.0,0.6558274
33000.0,0.6581039
34000.0,0.65564126
35000.0,0.65632653
36000.0,0.6517707
37000.0,0.6537759
38000.0,0.65248895
39000.0,0.65539634
40000.0,0.6504928
41000.0,0.6542094
42000.0,0.6580327
43000.0,0.6567507
44000.0,0.65428007
45000.0,0.6550499
46000.0,0.6555927
47000.0,0.6545261
48000.0,0.65381306
49000.0,0.65612566
50000.0,0.6549649
51000.0,0.656168
52000.0,0.6564122
53000.0,0.6541373
54000.0,0.656264
55000.0,0.65481436
56000.0,0.65423524
57000.0,0.65245765
58000.0,0.6553616
59000.0,0.65379596
60000.0,0.6538624
61000.0,0.65338695
62000.0,0.65314734
63000.0,0.6532637
64000.0,0.65471244
65000.0,0.6553393
66000.0,0.6561212
67000.0,0.6561471
68000.0,0.65305614
69000.0,0.6533027
70000.0,0.65234965
71000.0,0.6542177
72000.0,0.6541785
73000.0,0.6545696
74000.0,0.6541302
75000.0,0.65512604
76000.0,0.65473825
77000.0,0.6536762
78000.0,0.65352577
79000.0,0.65426266
80000.0,0.6547138
81000.0,0.65392345
82000.0,0.65313387
83000.0,0.6538627
84000.0,0.6545304
85000.0,0.6541716
86000.0,0.6543317
87000.0,0.6540937
88000.0,0.653849
89000.0,0.6544875
90000.0,0.6544389
91000.0,0.65336573
92000.0,0.65286624
93000.0,0.65422827
94000.0,0.65351963
95000.0,0.65373504
96000.0,0.6540667
97000.0,0.65451145
98000.0,0.65482104
99000.0,0.6549694
100000.0,0.654281
101000.0,0.65476644
102000.0,0.65429723
103000.0,0.65491354
104000.0,0.6541937
105000.0,0.6530912
106000.0,0.65431297
107000.0,0.65445787
108000.0,0.65382195
109000.0,0.65408814
110000.0,0.6546477
111000.0,0.65377736
112000.0,0.654178
113000.0,0.6539788
114000.0,0.6535344
115000.0,0.65441585
116000.0,0.6537796
117000.0,0.654193
118000.0,0.6546384
119000.0,0.65336186
120000.0,0.654451
121000.0,0.6538036
122000.0,0.65379035
123000.0,0.65346384
124000.0,0.65514106
125000.0,0.65411997
126000.0,0.6534187
127000.0,0.65411186
128000.0,0.65495837
129000.0,0.65403634
130000.0,0.6541827
131000.0,0.6541386
132000.0,0.6540866
133000.0,0.6548295
134000.0,0.6538224
135000.0,0.65351653
136000.0,0.6550268
137000.0,0.65456045
138000.0,0.65468144
139000.0,0.6544955
140000.0,0.65471077
141000.0,0.6545967
142000.0,0.6545315
143000.0,0.6545714
144000.0,0.65436924
145000.0,0.6540414
146000.0,0.6550352
147000.0,0.6544384
148000.0,0.65485644
149000.0,0.6543536
150000.0,0.6546969
151000.0,0.6546689
152000.0,0.6543817
153000.0,0.65525
154000.0,0.6556212
155000.0,0.6551924
156000.0,0.6542692
157000.0,0.65510386
158000.0,0.6548166
159000.0,0.6547035
160000.0,0.6554939
161000.0,0.65499127
162000.0,0.6550449
163000.0,0.6558045
164000.0,0.6545317
165000.0,0.6551244
166000.0,0.6558423
167000.0,0.6553329
168000.0,0.65541804
169000.0,0.6557889
170000.0,0.6556685
171000.0,0.6561012
172000.0,0.6731178760528564
173000.0,0.6736063361167908
174000.0,0.6753010749816895
175000.0,0.6768280863761902
176000.0,0.6810693144798279
177000.0,0.6848111152648926
178000.0,0.6879956126213074
