"step","downstreamPressure_DP108_370_0.38666666666666671_0.2475"
0.0,0.23427464
1000.0,1.3765627
2000.0,1.3857675
3000.0,1.3868607
4000.0,1.3769004
5000.0,1.3673618
6000.0,1.3686718
7000.0,1.3802085
8000.0,1.3770294
9000.0,1.383874
10000.0,1.3810794
11000.0,1.381213
12000.0,1.3733869
13000.0,1.3841751
14000.0,1.3862283
15000.0,1.3907801
16000.0,1.385724
17000.0,1.3928326
18000.0,1.3860149
19000.0,1.3911476
20000.0,1.3888535
21000.0,1.386886
22000.0,1.3899682
23000.0,1.3883815
24000.0,1.3849125
25000.0,1.3844359
26000.0,1.3825395
27000.0,1.3877285
28000.0,1.3896046
29000.0,1.3855776
30000.0,1.3817649
31000.0,1.3845916
32000.0,1.3859721
33000.0,1.3903818
34000.0,1.3856003
35000.0,1.3873982
36000.0,1.3791916
37000.0,1.383028
38000.0,1.3845971
39000.0,1.3853191
40000.0,1.3791502
41000.0,1.3839539
42000.0,1.3889194
43000.0,1.3879442
44000.0,1.3855813
45000.0,1.3857642
46000.0,1.3869369
47000.0,1.3838528
48000.0,1.3841867
49000.0,1.3858364
50000.0,1.3880575
51000.0,1.3857489
52000.0,1.3878436
53000.0,1.383523
54000.0,1.38499
55000.0,1.3850048
56000.0,1.381387
57000.0,1.3804264
58000.0,1.3852597
59000.0,1.3823955
60000.0,1.3827336
61000.0,1.3820829
62000.0,1.3816085
63000.0,1.3820977
64000.0,1.383497
65000.0,1.3873312
66000.0,1.3855687
67000.0,1.3843739
68000.0,1.3820772
69000.0,1.382504
70000.0,1.3816782
71000.0,1.3834655
72000.0,1.3839021
73000.0,1.384798
74000.0,1.3827817
75000.0,1.3843138
76000.0,1.3846791
77000.0,1.3832779
78000.0,1.3822032
79000.0,1.3841102
80000.0,1.3846914
81000.0,1.383497
82000.0,1.3816714
83000.0,1.3828206
84000.0,1.3842973
85000.0,1.383447
86000.0,1.3832784
87000.0,1.38181
88000.0,1.3833311
89000.0,1.3835781
90000.0,1.3835332
91000.0,1.3823652
92000.0,1.3818988
93000.0,1.3834345
94000.0,1.3813009
95000.0,1.3826497
96000.0,1.3828182
97000.0,1.3836434
98000.0,1.3849927
99000.0,1.3838586
100000.0,1.3829627
101000.0,1.3835769
102000.0,1.3827014
103000.0,1.3836477
104000.0,1.383468
105000.0,1.3809035
106000.0,1.3836117
107000.0,1.3838813
108000.0,1.3828982
109000.0,1.3824992
110000.0,1.3846049
111000.0,1.3828834
112000.0,1.3835708
113000.0,1.3824668
114000.0,1.38203
115000.0,1.3827974
116000.0,1.3825071
117000.0,1.3828328
118000.0,1.3836719
119000.0,1.381473
120000.0,1.3829141
121000.0,1.3825989
122000.0,1.382097
123000.0,1.3820937
124000.0,1.383348
125000.0,1.383326
126000.0,1.3814096
127000.0,1.3829185
128000.0,1.3835247
129000.0,1.3824594
130000.0,1.3818796
131000.0,1.3818872
132000.0,1.3826137
133000.0,1.3834832
134000.0,1.3818254
135000.0,1.3817408
136000.0,1.3842748
137000.0,1.3829945
138000.0,1.3833512
139000.0,1.382827
140000.0,1.3834598
141000.0,1.382174
142000.0,1.3838891
143000.0,1.3830194
144000.0,1.3824418
145000.0,1.3833683
146000.0,1.3843586
147000.0,1.3836048
148000.0,1.3839902
149000.0,1.3835516
150000.0,1.3841016
151000.0,1.3838257
152000.0,1.3839942
153000.0,1.3848431
154000.0,1.3848724
155000.0,1.3846169
156000.0,1.383676
157000.0,1.3843746
158000.0,1.384865
159000.0,1.384365
160000.0,1.3850006
161000.0,1.384598
162000.0,1.3848876
163000.0,1.3857611
164000.0,1.3841332
165000.0,1.384348
166000.0,1.3861475
167000.0,1.3845689
168000.0,1.3853137
169000.0,1.3851866
170000.0,1.3852654
171000.0,1.3851027
172000.0,1.3876081705093384
173000.0,1.3744535446166992
174000.0,1.361710786819458
175000.0,1.35329008102417
176000.0,1.348503589630127
177000.0,1.3468749523162842
178000.0,1.342170000076294
