"step","downstreamPressureDiff_DP112_909.99999999999989_0.76_0.2915"
0.0,-1.5683736
1000.0,-1.5787127
2000.0,-1.5645407
3000.0,-1.5675963
4000.0,-1.5632437
5000.0,-1.567862
6000.0,-1.5571111
7000.0,-1.5450573
8000.0,-1.5310341
9000.0,-1.5143877
10000.0,-1.4897077
11000.0,-1.571732759475708
12000.0,-1.5635946989059448
13000.0,-1.5329127311706543
14000.0,-1.4977855682373047
15000.0,-1.4752787351608276
16000.0,-1.425447702407837
17000.0,-1.4273700714111328
18000.0,-1.3606200218200684
19000.0,-1.3172789812088013
20000.0,-1.2424145936965942
21000.0,-1.1493160724639893
22000.0,-1.0898678302764893
23000.0,-0.9932188987731934
24000.0,-0.9859869480133057
25000.0,-0.8858696222305298
26000.0,-0.8292665481567383
27000.0,-0.7774308323860168
28000.0,-0.7230678796768188
29000.0,-0.6412325501441956
30000.0,-0.6455752849578857
31000.0,-0.6003179550170898
32000.0,-0.547649621963501
33000.0,-0.5515224933624268
34000.0,-0.4974304437637329
35000.0,-0.48705196380615234
36000.0,-0.46028053760528564
37000.0,-0.4279942512512207
38000.0,-0.41602563858032227
39000.0,-0.3931872844696045
40000.0,-0.4064927101135254
41000.0,-0.3617614507675171
42000.0,-0.3767104148864746
43000.0,-0.3542141914367676
44000.0,-0.39026474952697754
45000.0,-0.3459627628326416
46000.0,-0.32376372814178467
47000.0,-0.2974693775177002
48000.0,-0.28852689266204834
49000.0,-0.3121767044067383
50000.0,-0.31659257411956787
51000.0,-0.28623485565185547
52000.0,-0.2846566438674927
53000.0,-0.3188987970352173
54000.0,-0.2971005439758301
55000.0,-0.2941775321960449
56000.0,-0.24485230445861816
57000.0,-0.2568378448486328
58000.0,-0.26464366912841797
59000.0,-0.2549867630004883
60000.0,-0.33699536323547363
61000.0,-0.24904441833496094
62000.0,-0.24692463874816895
63000.0,-0.2514829635620117
64000.0,-0.23305034637451172
65000.0,-0.23373937606811523
66000.0,-0.25605130195617676
67000.0,-0.22290253639221191
68000.0,-0.3688373565673828
69000.0,-0.3258281946182251
70000.0,-0.2595365047454834
71000.0,-0.21918082237243652
72000.0,-0.22908401489257812
73000.0,-0.22954440116882324
74000.0,-0.2291020154953003
75000.0,-0.2185680866241455
76000.0,-0.22379887104034424
77000.0,-0.23429954051971436
78000.0,-0.22264552116394043
79000.0,-0.22898948192596436
80000.0,-0.23089540004730225
81000.0,-0.2028963565826416
82000.0,-0.2296445369720459
83000.0,-0.2301565408706665
84000.0,-0.2643057107925415
85000.0,-0.2154543399810791
86000.0,-0.23230695724487305
87000.0,-0.21921491622924805
88000.0,-0.22697234153747559
89000.0,-0.22218871116638184
90000.0,-0.21764588356018066
91000.0,-0.23328495025634766
92000.0,-0.22817611694335938
93000.0,-0.2205057144165039
94000.0,-0.2334357500076294
95000.0,-0.22974324226379395
96000.0,-0.23876643180847168
97000.0,-0.234205961227417
98000.0,-0.22043657302856445
99000.0,-0.22745251655578613
100000.0,-0.2087932825088501
101000.0,-0.21636104583740234
102000.0,-0.22464370727539062
103000.0,-0.23275506496429443
104000.0,-0.23277783393859863
105000.0,-0.2306431531906128
106000.0,-0.24138164520263672
107000.0,-0.22244930267333984
108000.0,-0.21499323844909668
109000.0,-0.23369932174682617
110000.0,-0.23145902156829834
111000.0,-0.21934521198272705
112000.0,-0.22750473022460938
113000.0,-0.22241199016571045
114000.0,-0.2341235876083374
115000.0,-0.2867978811264038
116000.0,-0.24493002891540527
117000.0,-0.21042954921722412
118000.0,-0.23127806186676025
119000.0,-0.25468742847442627
120000.0,-0.235703706741333
121000.0,-0.2230665683746338
122000.0,-0.22110748291015625
123000.0,-0.22027015686035156
124000.0,-0.22829008102416992
125000.0,-0.22479248046875
126000.0,-0.21887385845184326
127000.0,-0.22189116477966309
128000.0,-0.22657930850982666
129000.0,-0.22190451622009277
130000.0,-0.236344575881958
131000.0,-0.237046480178833
132000.0,-0.22975683212280273
133000.0,-0.22652006149291992
134000.0,-0.24470257759094238
135000.0,-0.22740507125854492
136000.0,-0.22844314575195312
137000.0,-0.22030854225158691
138000.0,-0.23351335525512695
139000.0,-0.22558903694152832
140000.0,-0.22504234313964844
141000.0,-0.2296462059020996
142000.0,-0.2390831708908081
143000.0,-0.2294386625289917
144000.0,-0.23738718032836914
145000.0,-0.220991849899292
146000.0,-0.2527148723602295
147000.0,-0.2950320243835449
148000.0,-0.2736130952835083
149000.0,-0.24910366535186768
150000.0,-0.22957146167755127
151000.0,-0.25025010108947754
152000.0,-0.25160813331604004
153000.0,-0.22591400146484375
154000.0,-0.23417162895202637
155000.0,-0.22325623035430908
156000.0,-0.2387545108795166
157000.0,-0.236619234085083
158000.0,-0.24303627014160156
159000.0,-0.24416255950927734
160000.0,-0.2401597499847412
161000.0,-0.2433621883392334
162000.0,-0.2401888370513916
163000.0,-0.24245929718017578
164000.0,-0.2436298131942749
165000.0,-0.23625874519348145
166000.0,-0.24313998222351074
167000.0,-0.24771857261657715
168000.0,-0.24514877796173096
169000.0,-0.2505917549133301
170000.0,-0.24802160263061523
171000.0,-0.2438502311706543
172000.0,-0.23896729946136475
173000.0,-0.23613214492797852
174000.0,-0.2492504119873047
175000.0,-0.24530959129333496
176000.0,-0.25046420097351074
177000.0,-0.25313496589660645
178000.0,-0.2535947561264038
179000.0,-0.25719380378723145
180000.0,-0.2596561908721924
181000.0,-0.261802077293396
182000.0,-0.25914573669433594
183000.0,-0.25438570976257324
184000.0,-0.2567662000656128
185000.0,-0.26376163959503174
186000.0,-0.2660508155822754
