"step","downstreamPressureDiff_DP103_130_0.65333333333333332_0.1925"
0.0,-1.6016979
1000.0,-1.5787942
2000.0,-1.5655781
3000.0,-1.5672247
4000.0,-1.5636331
5000.0,-1.5637981
6000.0,-1.5497025
7000.0,-1.5350937
8000.0,-1.5184226
9000.0,-1.5087345
10000.0,-1.4971349
11000.0,-1.5724554061889648
12000.0,-1.5631992816925049
13000.0,-1.5332080125808716
14000.0,-1.4856146574020386
15000.0,-1.4440057277679443
16000.0,-1.3940472602844238
17000.0,-1.4133285284042358
18000.0,-1.3431800603866577
19000.0,-1.3142732381820679
20000.0,-1.25284743309021
21000.0,-1.169532299041748
22000.0,-1.1272460222244263
23000.0,-1.0773316621780396
24000.0,-1.0316946506500244
25000.0,-0.9497312307357788
26000.0,-0.9052728414535522
27000.0,-0.8751934766769409
28000.0,-0.8257170915603638
29000.0,-0.7583122849464417
30000.0,-0.769849419593811
31000.0,-0.7275571823120117
32000.0,-0.6908088326454163
33000.0,-0.6840643286705017
34000.0,-0.6388747692108154
35000.0,-0.6274135708808899
36000.0,-0.595037579536438
37000.0,-0.5786072015762329
38000.0,-0.5749284029006958
39000.0,-0.5215158462524414
40000.0,-0.5385909080505371
41000.0,-0.4803217649459839
42000.0,-0.5167630910873413
43000.0,-0.48239827156066895
44000.0,-0.49144697189331055
45000.0,-0.4535560607910156
46000.0,-0.43184709548950195
47000.0,-0.41678833961486816
48000.0,-0.41229164600372314
49000.0,-0.3955719470977783
50000.0,-0.3652076721191406
51000.0,-0.3587559461593628
52000.0,-0.354964017868042
53000.0,-0.36985015869140625
54000.0,-0.35067009925842285
55000.0,-0.35048699378967285
56000.0,-0.28705883026123047
57000.0,-0.305466890335083
58000.0,-0.30669093132019043
59000.0,-0.2887687683105469
60000.0,-0.3559305667877197
61000.0,-0.2612583637237549
62000.0,-0.24415946006774902
63000.0,-0.23734307289123535
64000.0,-0.21310150623321533
65000.0,-0.20311498641967773
66000.0,-0.21418607234954834
67000.0,-0.18073248863220215
68000.0,-0.3229016065597534
69000.0,-0.24204790592193604
70000.0,-0.1985034942626953
71000.0,-0.16296815872192383
72000.0,-0.1665405035018921
73000.0,-0.15927791595458984
74000.0,-0.1646493673324585
75000.0,-0.1631852388381958
76000.0,-0.1569424867630005
77000.0,-0.156058669090271
78000.0,-0.1588653326034546
79000.0,-0.15998530387878418
80000.0,-0.14098548889160156
81000.0,-0.10563397407531738
82000.0,-0.10763859748840332
83000.0,-0.11254501342773438
84000.0,-0.1461961269378662
85000.0,-0.09326279163360596
86000.0,-0.09715104103088379
87000.0,-0.07965052127838135
88000.0,-0.09695553779602051
89000.0,-0.07895827293395996
90000.0,-0.09043920040130615
91000.0,-0.10411202907562256
92000.0,-0.09266519546508789
93000.0,-0.0893254280090332
94000.0,-0.11232638359069824
95000.0,-0.09658491611480713
96000.0,-0.10221946239471436
97000.0,-0.08098554611206055
98000.0,-0.06359100341796875
99000.0,-0.06425666809082031
100000.0,-0.06401288509368896
101000.0,-0.0720357894897461
102000.0,-0.07207512855529785
103000.0,-0.08489453792572021
104000.0,-0.050580739974975586
105000.0,-0.0545651912689209
106000.0,-0.07372570037841797
107000.0,-0.06493496894836426
108000.0,-0.07198560237884521
109000.0,-0.09493398666381836
110000.0,-0.06287837028503418
111000.0,-0.044975876808166504
112000.0,-0.04888296127319336
113000.0,-0.06004977226257324
114000.0,-0.07793879508972168
115000.0,-0.16231226921081543
116000.0,-0.11420702934265137
117000.0,-0.07695412635803223
118000.0,-0.08719146251678467
119000.0,-0.11194968223571777
120000.0,-0.07538223266601562
121000.0,-0.05588889122009277
122000.0,-0.060037970542907715
123000.0,-0.06064450740814209
124000.0,-0.053629279136657715
125000.0,-0.05281257629394531
126000.0,-0.057503581047058105
127000.0,-0.05497241020202637
128000.0,-0.07103300094604492
129000.0,-0.05751657485961914
130000.0,-0.050751686096191406
131000.0,-0.031085729598999023
132000.0,-0.027472496032714844
133000.0,-0.09757328033447266
134000.0,-0.062394142150878906
135000.0,-0.03654623031616211
136000.0,-0.028312325477600098
137000.0,-0.023261666297912598
138000.0,-0.03426170349121094
139000.0,-0.028449058532714844
140000.0,-0.03786659240722656
141000.0,-0.04314064979553223
142000.0,-0.04094266891479492
143000.0,-0.030497312545776367
144000.0,-0.029707908630371094
145000.0,-0.030279874801635742
146000.0,-0.10856509208679199
147000.0,-0.14362096786499023
148000.0,-0.12239646911621094
149000.0,-0.10122847557067871
150000.0,-0.09438157081604004
151000.0,-0.09019780158996582
152000.0,-0.07310223579406738
153000.0,-0.05561947822570801
154000.0,-0.054975032806396484
155000.0,-0.04917192459106445
156000.0,-0.04798018932342529
157000.0,-0.045162081718444824
158000.0,-0.04435229301452637
159000.0,-0.048862576484680176
160000.0,-0.027732133865356445
161000.0,-0.01748669147491455
162000.0,-0.022520780563354492
163000.0,-0.032930850982666016
164000.0,-0.03038489818572998
165000.0,-0.012292981147766113
166000.0,-0.020246505737304688
167000.0,-0.01546168327331543
168000.0,-0.057202816009521484
169000.0,-0.03916513919830322
170000.0,-0.01392054557800293
171000.0,-0.0028722286224365234
172000.0,0.011169791221618652
173000.0,0.015088796615600586
174000.0,0.006498098373413086
175000.0,0.006916522979736328
176000.0,0.015424728393554688
177000.0,0.011623620986938477
178000.0,0.0077048540115356445
179000.0,0.016502022743225098
180000.0,0.030437231063842773
181000.0,0.027437210083007812
182000.0,0.03220534324645996
183000.0,0.04035067558288574
184000.0,0.03630185127258301
185000.0,0.0397181510925293
186000.0,0.045015573501586914
187000.0,0.04494786262512207
188000.0,0.03952312469482422
189000.0,0.047887206077575684
190000.0,0.0624082088470459
191000.0,0.06466352939605713
192000.0,0.06981253623962402
193000.0,0.06252717971801758
194000.0,0.06471669673919678
195000.0,0.07149982452392578
196000.0,0.06019270420074463
197000.0,0.07840251922607422
198000.0,0.0935661792755127
199000.0,0.10229706764221191
200000.0,0.10806107521057129
201000.0,0.10856544971466064
202000.0,0.1072075366973877
203000.0,0.10753631591796875
204000.0,0.11112856864929199
205000.0,0.11448228359222412
206000.0,0.09009993076324463
207000.0,0.1189337968826294
208000.0,0.12008810043334961
209000.0,0.13342666625976562
210000.0,0.14042997360229492
211000.0,0.1423887014389038
212000.0,0.14681386947631836
213000.0,0.12848150730133057
214000.0,0.13922882080078125
215000.0,0.1558244228363037
216000.0,0.16979634761810303
217000.0,0.1702861785888672
218000.0,0.17821037769317627
219000.0,0.18120479583740234
220000.0,0.17905378341674805
221000.0,0.18033194541931152
222000.0,0.18261480331420898
223000.0,0.19332265853881836
224000.0,0.19706571102142334
225000.0,0.19725298881530762
226000.0,0.20416581630706787
227000.0,0.21045947074890137
228000.0,0.21144318580627441
229000.0,0.21662449836730957
230000.0,0.22118914127349854
231000.0,0.22876191139221191
232000.0,0.2316737174987793
233000.0,0.23890292644500732
234000.0,0.23815858364105225
235000.0,0.24987030029296875
236000.0,0.2586928606033325
237000.0,0.26044344902038574
238000.0,0.2660524845123291
239000.0,0.2730872631072998
240000.0,0.27319765090942383
241000.0,0.2784726619720459
242000.0,0.28668856620788574
243000.0,0.29125380516052246
244000.0,0.2997310161590576
245000.0,0.3022904396057129
246000.0,0.3086463212966919
247000.0,0.3160783052444458
248000.0,0.3172870874404907
249000.0,0.3272296190261841
250000.0,0.33426082134246826
251000.0,0.33547520637512207
252000.0,0.3433713912963867
253000.0,0.3445312976837158
254000.0,0.3524361848831177
255000.0,0.35714221000671387
256000.0,0.36214113235473633
257000.0,0.36890459060668945
258000.0,0.3762171268463135
259000.0,0.3808790445327759
260000.0,0.38747739791870117
261000.0,0.3950378894805908
262000.0,0.3950619697570801
263000.0,0.4012453556060791
264000.0,0.40834832191467285
265000.0,0.41445374488830566
266000.0,0.41442441940307617
267000.0,0.42338061332702637
268000.0,0.4337120056152344
269000.0,0.43668222427368164
270000.0,0.4442107677459717
271000.0,0.45073628425598145
272000.0,0.45348072052001953
273000.0,0.4586648941040039
274000.0,0.46410179138183594
275000.0,0.4692959785461426
276000.0,0.47437334060668945
277000.0,0.4787144660949707
278000.0,0.48615360260009766
279000.0,0.49452733993530273
280000.0,0.4970741271972656
281000.0,0.5030465126037598
282000.0,0.5094249248504639
283000.0,0.5156111717224121
284000.0,0.5190134048461914
285000.0,0.5251460075378418
286000.0,0.530299186706543
287000.0,0.5339958667755127
288000.0,0.540008544921875
289000.0,0.542611837387085
290000.0,0.5527691841125488
291000.0,0.5581660270690918
292000.0,0.5614285469055176
293000.0,0.5664491653442383
294000.0,0.5743865966796875
295000.0,0.5781023502349854
296000.0,0.5819671154022217
297000.0,0.5874783992767334
298000.0,0.5928561687469482
299000.0,0.6001896858215332
300000.0,0.6051726341247559
