"step","upstreamPressureDiff_DP106_489.99999999999994_0.49333333333333335_0.2255"
0.0,-4.4218855
1000.0,-4.3956575
2000.0,-4.3675227
3000.0,-4.318228
4000.0,-4.23841
5000.0,-4.2244563
6000.0,-4.04847
7000.0,-3.9961967
8000.0,-3.8019702
9000.0,-3.6116986
10000.0,-3.4073007
11000.0,-4.316967487335205
12000.0,-4.002590179443359
13000.0,-3.8263840675354004
14000.0,-3.6956727504730225
15000.0,-3.5323262214660645
16000.0,-3.3835041522979736
17000.0,-3.5210351943969727
18000.0,-3.174563407897949
19000.0,-3.1044700145721436
20000.0,-2.8915629386901855
21000.0,-2.7438721656799316
22000.0,-2.575547695159912
23000.0,-2.4595086574554443
24000.0,-2.454043388366699
25000.0,-2.3290326595306396
26000.0,-2.253063201904297
27000.0,-2.122594118118286
28000.0,-2.0371809005737305
29000.0,-2.0405993461608887
30000.0,-1.9102015495300293
31000.0,-1.8507795333862305
32000.0,-1.803229808807373
33000.0,-1.9332690238952637
34000.0,-1.7023711204528809
35000.0,-1.6983792781829834
36000.0,-1.6800832748413086
37000.0,-1.7160625457763672
38000.0,-1.601529836654663
39000.0,-1.6179156303405762
40000.0,-1.7473068237304688
41000.0,-1.5021119117736816
42000.0,-1.5603365898132324
43000.0,-1.5903849601745605
44000.0,-1.5741138458251953
45000.0,-1.5104331970214844
46000.0,-1.4253690242767334
47000.0,-1.4554500579833984
48000.0,-1.4192907810211182
49000.0,-1.4528920650482178
50000.0,-1.4655044078826904
51000.0,-1.3906476497650146
52000.0,-1.3490169048309326
53000.0,-1.5059680938720703
54000.0,-1.4006175994873047
55000.0,-1.3790428638458252
56000.0,-1.41587233543396
57000.0,-1.3448302745819092
58000.0,-1.344559669494629
59000.0,-1.3297288417816162
60000.0,-1.5113117694854736
61000.0,-1.3191132545471191
62000.0,-1.3136699199676514
63000.0,-1.2736148834228516
64000.0,-1.345698356628418
65000.0,-1.2785766124725342
66000.0,-1.3252291679382324
67000.0,-1.309544324874878
68000.0,-1.8192315101623535
69000.0,-1.3969511985778809
70000.0,-1.3194646835327148
71000.0,-1.3623991012573242
72000.0,-1.2855122089385986
73000.0,-1.2510271072387695
74000.0,-1.2843785285949707
75000.0,-1.3200199604034424
76000.0,-1.2162699699401855
77000.0,-1.2501559257507324
78000.0,-1.2434802055358887
79000.0,-1.295471429824829
80000.0,-1.2673473358154297
81000.0,-1.3928418159484863
82000.0,-1.2851593494415283
83000.0,-1.3009567260742188
84000.0,-1.4073855876922607
85000.0,-1.3160219192504883
86000.0,-1.2638821601867676
87000.0,-1.2499256134033203
88000.0,-1.238083839416504
89000.0,-1.2253186702728271
90000.0,-1.2276127338409424
91000.0,-1.2656478881835938
92000.0,-1.3295137882232666
93000.0,-1.225468635559082
94000.0,-1.3061513900756836
95000.0,-1.270716905593872
96000.0,-1.1920123100280762
97000.0,-1.2246274948120117
98000.0,-1.2501487731933594
