"step","upstreamPressureDiff_DP108_370_0.38666666666666671_0.2475"
0.0,-4.43753
1000.0,-4.3969045
2000.0,-4.367459
3000.0,-4.3171525
4000.0,-4.2383075
5000.0,-4.2245955
6000.0,-4.0436783
7000.0,-3.99343
8000.0,-3.7958522
9000.0,-3.6007705
10000.0,-3.3907757
11000.0,-4.318047523498535
12000.0,-4.0039286613464355
13000.0,-3.822387933731079
14000.0,-3.686082601547241
15000.0,-3.5196292400360107
16000.0,-3.3696749210357666
17000.0,-3.5129151344299316
18000.0,-3.1582295894622803
19000.0,-3.0864405632019043
20000.0,-2.8743112087249756
21000.0,-2.7142117023468018
22000.0,-2.5439844131469727
23000.0,-2.4337337017059326
24000.0,-2.4248156547546387
25000.0,-2.296232223510742
26000.0,-2.2193381786346436
27000.0,-2.0786170959472656
28000.0,-2.0026960372924805
29000.0,-2.011697769165039
30000.0,-1.8675594329833984
31000.0,-1.8079710006713867
32000.0,-1.767714023590088
33000.0,-1.9006690979003906
34000.0,-1.6614727973937988
35000.0,-1.6621384620666504
36000.0,-1.6446890830993652
37000.0,-1.684312343597412
38000.0,-1.5698261260986328
39000.0,-1.5736820697784424
40000.0,-1.7181239128112793
41000.0,-1.4730892181396484
42000.0,-1.5252776145935059
43000.0,-1.5605921745300293
44000.0,-1.5364313125610352
45000.0,-1.47794508934021
46000.0,-1.395031452178955
47000.0,-1.4268641471862793
48000.0,-1.388944149017334
49000.0,-1.4221477508544922
50000.0,-1.4349384307861328
51000.0,-1.366586446762085
52000.0,-1.3236637115478516
53000.0,-1.4839801788330078
54000.0,-1.3765015602111816
55000.0,-1.3524188995361328
56000.0,-1.3806052207946777
57000.0,-1.3223717212677002
58000.0,-1.3184447288513184
59000.0,-1.3062222003936768
60000.0,-1.4784598350524902
61000.0,-1.2906413078308105
62000.0,-1.2894713878631592
63000.0,-1.2456626892089844
64000.0,-1.3187367916107178
65000.0,-1.2526893615722656
66000.0,-1.300119400024414
67000.0,-1.2856669425964355
68000.0,-1.810948133468628
69000.0,-1.3763413429260254
70000.0,-1.2964258193969727
71000.0,-1.339350700378418
72000.0,-1.2578420639038086
73000.0,-1.2250137329101562
74000.0,-1.259798288345337
75000.0,-1.298856496810913
76000.0,-1.188908576965332
77000.0,-1.2235991954803467
78000.0,-1.2142322063446045
79000.0,-1.2717790603637695
80000.0,-1.2412328720092773
81000.0,-1.3708758354187012
82000.0,-1.263845443725586
83000.0,-1.2723450660705566
84000.0,-1.3810393810272217
85000.0,-1.2898917198181152
86000.0,-1.237563133239746
87000.0,-1.2249822616577148
88000.0,-1.2115063667297363
89000.0,-1.1980876922607422
90000.0,-1.1951067447662354
91000.0,-1.2318339347839355
92000.0,-1.3095555305480957
93000.0,-1.1999568939208984
94000.0,-1.2749805450439453
95000.0,-1.245323657989502
96000.0,-1.1653633117675781
97000.0,-1.193950891494751
98000.0,-1.2169599533081055
99000.0,-1.2059218883514404
100000.0,-1.1697955131530762
101000.0,-1.1673533916473389
102000.0,-1.170147180557251
103000.0,-1.2388429641723633
104000.0,-1.177128553390503
105000.0,-1.2030727863311768
106000.0,-1.1785814762115479
107000.0,-1.1471309661865234
108000.0,-1.2237753868103027
109000.0,-1.3145740032196045
110000.0,-1.2344493865966797
111000.0,-1.2081217765808105
112000.0,-1.1663618087768555
113000.0,-1.1928997039794922
114000.0,-1.1794285774230957
115000.0,-1.2610492706298828
116000.0,-1.1465082168579102
117000.0,-1.1705436706542969
118000.0,-1.1737456321716309
119000.0,-1.2318720817565918
120000.0,-1.101902961730957
121000.0,-1.1454591751098633
122000.0,-1.0948069095611572
123000.0,-1.1039433479309082
124000.0,-1.1660494804382324
125000.0,-1.121384620666504
126000.0,-1.1298613548278809
127000.0,-1.0992908477783203
128000.0,-1.160226583480835
129000.0,-1.0978538990020752
130000.0,-1.1852407455444336
131000.0,-1.1320595741271973
132000.0,-1.0936996936798096
133000.0,-1.3842158317565918
134000.0,-1.246619462966919
135000.0,-1.1583588123321533
136000.0,-1.1316051483154297
137000.0,-1.109680414199829
138000.0,-1.0825238227844238
139000.0,-1.0305120944976807
140000.0,-1.0799040794372559
141000.0,-1.0609362125396729
142000.0,-1.1046016216278076
143000.0,-1.0699987411499023
144000.0,-1.104475498199463
145000.0,-1.159651756286621
146000.0,-1.2823691368103027
147000.0,-1.0898830890655518
148000.0,-1.0349996089935303
149000.0,-1.022728443145752
150000.0,-1.126594066619873
151000.0,-1.0888566970825195
152000.0,-1.0392613410949707
153000.0,-1.0726723670959473
154000.0,-1.0221505165100098
155000.0,-1.0670831203460693
156000.0,-1.0515575408935547
157000.0,-1.062417984008789
158000.0,-1.0303254127502441
159000.0,-1.1557939052581787
160000.0,-1.07466459274292
161000.0,-1.0470600128173828
162000.0,-1.0236940383911133
163000.0,-1.0298573970794678
164000.0,-1.0285215377807617
165000.0,-1.032426118850708
166000.0,-1.0346338748931885
167000.0,-1.0328142642974854
168000.0,-1.224963665008545
169000.0,-1.165651798248291
170000.0,-1.1057069301605225
171000.0,-1.0830988883972168
172000.0,-1.0455231666564941
173000.0,-1.019516944885254
174000.0,-1.028069019317627
175000.0,-1.0451860427856445
176000.0,-1.0053951740264893
177000.0,-0.9979569911956787
178000.0,-1.019683599472046
179000.0,-1.0617070198059082
180000.0,-1.0191230773925781
181000.0,-1.031334400177002
182000.0,-1.0013315677642822
183000.0,-0.997138261795044
184000.0,-1.0879340171813965
185000.0,-1.0089507102966309
186000.0,-0.9940052032470703
187000.0,-1.0089049339294434
188000.0,-0.9946956634521484
189000.0,-1.0602364540100098
190000.0,-1.0286729335784912
191000.0,-1.0099406242370605
192000.0,-0.9948492050170898
193000.0,-0.9506626129150391
194000.0,-0.9774870872497559
195000.0,-0.9829225540161133
196000.0,-1.1057524681091309
197000.0,-1.0535922050476074
198000.0,-1.0222992897033691
199000.0,-1.0028948783874512
200000.0,-0.9890851974487305
201000.0,-1.0012009143829346
202000.0,-0.9847149848937988
203000.0,-0.9950802326202393
204000.0,-0.9847254753112793
205000.0,-0.9761550426483154
206000.0,-1.083465576171875
207000.0,-1.0189733505249023
208000.0,-1.0301337242126465
209000.0,-0.9893269538879395
210000.0,-0.9781429767608643
211000.0,-0.9812116622924805
212000.0,-0.9725780487060547
213000.0,-1.1297221183776855
214000.0,-1.0954465866088867
215000.0,-1.0485563278198242
216000.0,-1.0210533142089844
217000.0,-1.0045859813690186
218000.0,-0.9939613342285156
219000.0,-0.9887359142303467
220000.0,-0.9888334274291992
221000.0,-0.9805741310119629
222000.0,-0.9837164878845215
223000.0,-0.9766421318054199
224000.0,-0.9588124752044678
225000.0,-0.9635167121887207
226000.0,-0.9691767692565918
227000.0,-0.9828317165374756
228000.0,-0.9767723083496094
229000.0,-0.9743139743804932
230000.0,-0.9554793834686279
231000.0,-0.966270923614502
232000.0,-0.9644975662231445
233000.0,-0.9604077339172363
234000.0,-0.9860410690307617
235000.0,-0.9640250205993652
236000.0,-0.9579343795776367
237000.0,-0.9579706192016602
238000.0,-0.9515166282653809
239000.0,-0.9544544219970703
240000.0,-0.9555850028991699
241000.0,-0.9483151435852051
242000.0,-0.9491310119628906
243000.0,-0.9528908729553223
244000.0,-0.953221321105957
245000.0,-0.9474880695343018
246000.0,-0.9490857124328613
247000.0,-0.9461877346038818
248000.0,-0.9503107070922852
249000.0,-0.9418430328369141
250000.0,-0.9321296215057373
251000.0,-0.9410495758056641
252000.0,-0.9401435852050781
253000.0,-0.9409995079040527
254000.0,-0.9348533153533936
255000.0,-0.937579870223999
256000.0,-0.9362456798553467
257000.0,-0.9317746162414551
258000.0,-0.9321222305297852
259000.0,-0.9351825714111328
260000.0,-0.928370475769043
261000.0,-0.9230422973632812
